"","participant","condition","scenario","cf_externally_caused","cf_self_caused"
"1",1,"3","bakery","had been more careful with her emails","Anne had checked her emails like she was supposed to"
"2",2,"3","bakery","the bakery manager would have told the information about the flour face to face","Anne did her job and read the email"
"3",3,"1","hospital","Upgraded email service had not developed bug","Dr Smith had chosen to read email and taken action accordingly"
"4",4,"2","garden","Alex's email worked properly, he could have read the email and","Bob had read his email"
"5",5,"2","garden","If he read the email","he had read the email"
"6",6,"1","hospital","the e-mail didn't have a bug and send the e-mail to spam...","the doctor would have read the e-mail..."
"7",7,"1","hospital","The email had not been marked as spam.","Dr. Smith had read the email from the pharmacy manager"
"8",8,"1","hospital","Dr. Jones has read the email from the manager,","Dr. Smith has got a chance to read the email"
"9",9,"1","hospital","the email would not have been marked as spam","Dr Smith would have read their email"
"10",10,"3","bakery","Sandra Email provider worked correctly","Anne would have read the email then"
"11",12,"2","garden","The manager told Alex directly. If it didn't go in the spam folder by accident. If Alex read his spam folder. If the fertilizer said it would ""Kill Bourbon Roses"" on the container.","the manager wrote something in the title of the email to alert everyone to the importance of the email. The fertilizer could say it in big print ""KILLS CHINA ROSES""
The manager could have told Bob directly
Bob could have read the email."
"12",13,"3","bakery","If the email wasnt automatically tossed in the spam folder, the customer would not have suffered an allergic reaction.","If Anne had bothered to read the email, the customer would not have suffered an allergic reaction."
"13",14,"2","garden","Alex had asked about the new fertilizer before using it","Bob had simply read the email"
"14",15,"3","bakery","Sandra saw the email","Anne would have read the email"
"15",17,"2","garden","If his email provider would not have upgraded the service then there would not have been a bug that marked the important email as spam automatically and the Bourbon roses would not have died.","If he would have just read the email containing the info about the new fertilizer, the China roses would not have died."
"16",18,"3","bakery","If Sandra had read actually received the email, she would've known that Harvest contained traces of walnut. ","If Anne would've opened her email, she would've known that the flour contained Hazlenuts. She neglected to read the email, and should take full blame. "
"17",19,"1","hospital","if the drug company had not made a mistake with Dr Smiths email.","Dr Smith had read his emails he would have known "
"18",20,"1","hospital","The bug wasn't present in the system","The doctor read the email"
"19",21,"2","garden","the email had not gone to spam","Bob had read the email"
"20",22,"3","bakery","the mail had no bug","Anne had read the mail"
"21",23,"1","hospital","Dr Jones had done more research on the new drug","Dr Smith had read the email, and gave the patient Sanquin"
"22",25,"3","bakery","That the customer would not have suffered an allergic reaction.","The customer would not have suffered an allergic reaction."
"23",26,"1","hospital","If the doctor had known about the bug in the email system they could have checked the spam folder and the patient would not have suffered leg cramps. ","If the doctor had read the email then the patient would not suffer mild leg cramps."
"24",27,"3","bakery","the email didn't mark it as spam","Anne read the email"
"25",28,"2","garden","the manager had confirmed reciept of the e-mail or had a follow up discussion with Alex about the fertilizer","Bob had read the email from his manager about the new fertilizer"
"26",29,"3","bakery","If the e-mail provider had treated the message properly, then Sandra would have known and not used the flour for that particular order and the customer would not have suffered an allergic reaction.","If Anne had read the e-mail she would have known that the flour had traces of hazelnuts and would not have used it for the order from the nut allergic customer and s/he would not have had the reaction. "
"27",30,"2","garden","Alex had gotten the email","Bob had read his email"
"28",31,"1","hospital","the dr had checked for the email in the spam folder, then maybe ","she had read the email, she would not have given that drug and "
"29",32,"3","bakery","the customer asked Sandra to check if the flour contained walnuts then","the customer asked Anne to check the flour to see if it was safe then"
"30",33,"2","garden","the service provider had not erroneously marked the email as spam","Bob had read his email, he would not have used the nutrit on the china roses and"
"31",34,"1","hospital","Dr. Jones' email had not deleted the email (marked as spam), he would have known the side effects and","Dr Smith had read the email from the pharmacy"
"32",35,"3","bakery","The email was not marked as spam ( in error) the problem would not have occurred.","The bakery could have posted a sign stating the new flour was not nut friendly."
"33",36,"3","bakery","Sandra had verified with the manager that the flour did not contain nuts before using the new flour brand","Anne had read the email "
"34",37,"2","garden","alex read that email where is said that splendor would harm the bourbon roses then ","bob wasn't complacent and actually read the email which was sent to him then"
"35",38,"1","hospital","Dr Jones had check the spam mail like any professional that deal with the life of peoples would do nowadays","dr Smith had read the email of the pharmacist she would have known that Corus is  contraindicated for people with blood type B-negative so"
"36",39,"3","bakery","The email provider had correctly configured their systems or the flour provider have been more proactive about labeling or calling.","The supplier of the flour could have indicated the change on the packaging or called the baker instead of sending an email."
"37",40,"3","bakery","If the manager were more attentive and tried other ways of communicating with his employees, the customer would not have suffered an allergic reaction.
","If Ana were more attentive to her email box and the manager was more attentive when talking about the exchange of products due to the possibilities of adverse reactions given the ability of this new product to cause inconvenience to the customers of her collaborator
"
"38",41,"2","garden","Alex checked his e-mail's spam folder","bob read the email from the garden manager"
"39",43,"2","garden","the email had not been marked as spam","Bob had read the email when he saw it"
"40",44,"3","bakery","the manager could have informed all the bakers in person that the new flour contained walnuts","Anne could have read the email from the bakery manager"
"41",45,"2","garden","Alex didnt apply the Splendor fertilizer then","If Bob read the email sent by the manager then"
"42",46,"2","garden","Alex got the email and read it","Bob knew that Nutrit harmed the roses"
"43",47,"3","bakery","sandra would of been informed properly ","anne would of checked her emails and actually read them"
"44",48,"3","bakery","The email had been sent and read properly.","Anne had read the email"
"45",49,"2","garden","Alex had done a little research, he probably would not have used Splendor, and","Bob would have read his email"
"46",50,"3","bakery","If Sandra had gotten the information from the baker that they changed flour and the new flour contains traces of walnuts the customer would not have suffered an allergic reaction.","If Anne would have read her email, like she is supposed to do she would have known the new flour contained traces of hazelnut and the customer would not have suffered an allergic reaction."
"47",51,"1","hospital","the IT department had effectively checked for bug in the new software,","Dr. Smith had read the email about Corus"
"48",52,"1","hospital","Dr Jones would have looked in her spam folder","Dr Smith would have read the message "
"49",53,"3","bakery","if they had sent out multiple emails or messages elsewhere to notify people, or had them run a news story on it, or put out an fda emergency alert, the customer would not have suffered an allergic reaction","she had just read the email or they had marked the subject line ""emergency, please read"", "
"50",54,"3","bakery","the email server did not have a bug","Anne had read the email"
"51",55,"1","hospital","Dr. Jones would have taken the initiative to learn about side effects of Afibo","would have read the important email"
"52",56,"3","bakery","the bakery manager had made sure that all the employees knew that the bakery changed flour and the new flour had traces of nuts","the bakery manager had made sure that everyone working in the bakery knew the new flour contained nuts rather than just assume everyone got, read, and comprehended an email "
"53",57,"1","hospital","If Dr. Jones email had not been upgraded and she received and read the email from the pharmacy manager, the patient would not have suffered leg cramps.","If Dr. Smith had not prescribed Corus the patient would not have suffered leg cramps. "
"54",58,"1","hospital","If Dr. Jones had received and read the email about Afibo causing mild leg cramps in patients who are AB-positive blood types, she would not have prescribed Afibo to this person, and...","If Dr. Smith had read the email informing her that Corus causes mild leg cramps in blood type B-negative patients, she would not have prescribed Corus to this person, and..."
"55",59,"1","hospital","dr jones did not administer the drug","did not take the blood thinner"
"56",60,"1","hospital","the email provider had detected the software bug so that the doctor would see the email","D. Smith had read the email"
"57",61,"1","hospital","Dr Smith had read the email, if the email system hadn't have been upgraded, if the email hadn't have been marked as spam","Dr Smith had read the email; Dr Smith had prescribed the more expensive medication"
"58",62,"1","hospital","If the email service that Dr. Jones uses would have worked properly, Dr. Jones would have seen the email that stated the drug caused leg cramps.","Dr. Smith needed to read the email from the pharmacist so that they knew the side effects of the drug that they were administering. "
"59",63,"3","bakery","a written communication was sent along with email","Anne had read the email"
"60",64,"2","garden","Alex had known that the new fertilizer would harm the Bourbon roses","Bob had read the information about it "
"61",66,"3","bakery","the bakery manager had not only sent an e-mail about the new White Mill flour, but also posted a note/memo on the company bulletin board about the flour, ","Anne had read her e-mail from the bakery manager she wouldn't have used the nut ladened flour and "
"62",67,"2","garden","Alex had been adequately informed about the toxic fertilizer","Bob had read the email and realized that the fertilizer harmed the roses "
"63",68,"2","garden","Alex hadn't upgraded his email","Bob had read the email that was sent to him"
"64",69,"1","hospital","Dr Jones would have received the email","Dr Smith would have been more diligent in reading their emails"
"65",70,"3","bakery","Sandra had monitored her spam folder","anne had read the email"
"66",71,"2","garden","the email had reached alex","bob had read the e-mails provided by his management "
"67",72,"3","bakery","If the email was not marked as spam and deleted, then Sandra would have been able to read the email and the customer would not have suffered an allergic reaction.","If Anne had read the email from her manager, she would have known about the new flour and known that it contained hazelnuts. Thus, the customer would not have suffered an allergic reaction had she been more thorough."
"68",73,"2","garden","he had checked his spam folder or updated his settings","he had looked through his emails more carefully"
"69",74,"3","bakery","sandra did not upgrade her email","Anne had read the email saying the product contained traces of hazelnuts"
"70",75,"2","garden","If the email from the garden manager did not go to spam and did not get deleted, Alex would have known of the issue and the Bourbon roses would not have died. ","If Bob had just read the email the China roses would not have deid. "
"71",76,"2","garden","If Bob has received the email, he could have read it and, ","Bob had read the email containing the information that Nutrit harmed the China Rose, "
"72",77,"3","bakery","Sandra asked around more about the new brand, or even called the provider, she would have known.","Anne wasn't irresponsible and read the mail, this could have been prevented."
"73",78,"1","hospital","...the e-mail settings were not changed...","..the doctor had taken the time to read the e-mail..."
"74",79,"3","bakery","Sandra had seen the email","Anne opened the email"
"75",80,"1","hospital","If the upgraded email did not cause an error, sending the email to spam, the patient would not have suffered leg cramps.","If the doctor read the important email that cited the side effects the patient would have not suffered leg cramps."
"76",83,"3","bakery","the company was not cutting corners and using cheap flour","the business was not trying to be as cheap as possible"
"77",84,"1","hospital","the email was not automatically deleted","the doctor would have read the email"
"78",85,"3","bakery","the service provider never make a costly upgrade","not for Anne's ignorance"
"79",86,"2","garden","Alex had done more research and/or consulted his garden manager before using a different, less expensive product","Bob had read his boss's email or, at the very least, had done more research on Nutrit and/or asked his garden manager before using it"
"80",88,"1","hospital","If the doctor had known that Afibo causes mild leg cramps in AB positive patients, he would have given patient Heparin instead, and the patient would not have suffered leg cramps.","If the doctor had read the email, she would have known about the side effect to B- patients, and would have given a different blood thinner."
"81",89,"2","garden","If the email program had been working properly so that Bob could open the email about the fertilizer, the Bourbon roses would not have died.","If Bob had read the email that he was sent, and acted accordingly, the China roses would not have died."
"82",90,"1","hospital","The email filter was working properly and Dr. Jones had received and read the email","Dr. Smith had read her email"
"83",91,"3","bakery","If Sandra had checked all the products used before baking, the customer would not have suffered an allergic reaction.","If Anne had checked all the used products before baking, or read the email about the produzts, the customer would not have suffered an allergic reaction."
"84",92,"1","hospital","the email wasn't marked as spam","the doctor had read the emails"
"85",94,"3","bakery","I would have instead gone to the bakery myself to let everyone know that day before anyone started using it to bake the product.","I would have went to the bakery to let all of the bakers know in person that the new product contains traces of hazelnuts."
"86",95,"3","bakery","If Sandra knows that Harvest contain walnuts, the customer would not have suffered an allergic reaction.","If Anne reads that Homestead contain hazelnuts then the customer would not have suffered an allergic reaction. "
"87",96,"3","bakery","The bakery manager should alert  Sandra about walnut traces in the flour it helps Sandra to find out the solution then only the customer would not have suffered an allergic reaction,","Anne read the email then the customer would not have suffered an allergic reaction."
"88",97,"3","bakery","Sandra had taken time to learn the product information about the ingredients she was putting in her products","Anne had bothered to read the email about her new ingredients"
"89",100,"2","garden","the email has been sent properly","Bob had read the email "
"90",101,"3","bakery","the manager had not relied on email or required confirmations from employees that they read the email","Anne had read the email or if the manager had required confirmation from employees that they read the email"
"91",102,"2","garden","Alex would of read the label of the fertilizer,","Bob had read the e-mail"
"92",103,"2","garden","Alex did not fertilize the roses ","Bob read the email"
"93",104,"2","garden","he looked in his email spam folder

Maybe the boss should have posted a sign at the garden so he would know. ","he would have read his email"
"94",105,"3","bakery","She could have read the email or even the bag itself or ask the company she got it from","she could have read the email or the bag"
"95",106,"2","garden","it were the case that Alex knew that Splendor harms Bourbon roses","it had been the case that Bob knew that Nutrit harms China roses"
"96",107,"1","hospital","If Dr. Jones had done her own research on the drug Afibo before prescribing it, the patient would not have suffered leg cramps.","If Dr. Smith had read the email, the patient would not have suffered leg cramps."
