StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q38,Q39,Q40,Q41,H_Check_fact_1,H_Check_mail_1,H_Check_read_1,H_Check_know_1,H_C_1_1,H_CF_1,H_K_1_1,H_B_1_1,H_Check_fact_2,H_Check_mail_2,H_Check_read_2,H_Check_know_2,H_C_2_1,H_CF_2,H_K_2_1,H_B_2_1,G_Check_fact_1,G_Check_mail_1,G_Check_read_1,G_Check_know_1,G_C_1_1,G_CF_1,G_K_1_1,G_B_1_1,G_Check_fact_2,G_Check_mail_2,G_Check_read_2,G_Check_know_2,G_C_2_1,G_CF_2,G_K_2_1,G_B_2_1,B_Check_fact_1,B_Check_mail_1,B_Check_read_1,B_Check_know_1,B_C_1_1,B_CF_1,B_K_1_1,B_B_1_1,B_Check_fact_2,B_Check_mail_2,B_Check_read_2,B_Check_know_2,B_C_2_1,B_CF_2,B_K_2_1,B_B_2_1,Age,Gender,Q390,condition,order
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)","Please answer the following questions: 

 

The new blood-thinning drug ""Afibo""...",The e-mail of the pharmacy manager contains the information that ...,Dr Jones did not read the e-mail ...,Dr Jones ...,"Please rate how much you agree or disagree with the following statement: 



                        “Dr Jones caused the patient's leg cramps.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the patient would not have suffered mild leg cramps. 

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the patient would not have suffered leg cramps.""","Please rate how much you agree or disagree with the following statement: 



                                “Dr Jones could have known that Afibo causes mild leg cramps.”","Please indicate your tendency to the following question:

 

""How blameworthy is Dr Jones for not knowing that Afibo causes mild leg cramps?""","Please answer the following questions: 

 

The new blood-thinning drug ""Corus""...",The e-mail of the pharmacy manager contains the information that ...,Dr Smith did not read the e-mail ...,Dr Smith ...,"Please rate how much you agree or disagree with the following statement: 



                    “Dr Smith caused the patient's leg cramps.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the patient would not have suffered mild leg cramps. 

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the patient would not have suffered leg cramps.""","Please rate how much you agree or disagree with the following statement:


 

“Dr Smith could have known that Corus causes mild leg cramps.”","Please indicate your tendency to the following question :

 

""How blameworthy is Dr Smith for not knowing that Corus causes mild leg cramps?""","Please answer the following questions: 

 

 The new fertilizer ""Splendor""...","The e-mail of the garden manager contains the information that the new fertilizer ""Splendor""...",Alex did not read the e-mail ...,Alex ...,"Please rate how much you agree or disagree with the following statement: 



                  “Alex caused the Bourbon roses to die.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the Bourbon roses would not have died.

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the Bourbon roses would not have died.""","Please rate how much you agree or disagree with the following statement:

 

                 “Alex could have known that Splendor harms Bourbon roses.”","Please indicate your tendency towards the following question:

 

""How blameworthy is Alex for not knowing that Splendor harms Bourbon roses?""","Please answer the following questions: 

 

 The new fertilizer ""Nutrit""...","The e-mail of the garden manager contains the information that the new fertilizer ""Nutrit""...",Bob did not read the email...,Bob ...,"Please rate how much you agree or disagree with the following statement: 



                         “Bob caused the China roses to die.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 In the following text box, we would like you to write down what could have gone differently so that the China roses would not have died. (Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.) ""If __________________________________, the China roses would not have died.""","Please rate how much you agree or disagree with the following statement:

 

                       “Bob could have known that Nutrit harms China roses.”","Please indicate your tendency towards the following question:

 

""How blameworthy is Bob for not knowing that Nutrit harms China roses?""","Please answer the following questions: 



The new flour of the brand ""Harvest""...","The e-mail of the bakery manager contains the information that ""Harvest"" ...",Sandra did not read the email...,Sandra ...,"Please rate how much you agree or disagree with the following statement: 



                          “Sandra caused the customer's allergic reaction.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the customer would not have suffered an allergic reaction.

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If ____________________________, the customer would not have suffered an allergic reaction.""","Please rate how much you agree or disagree with the following statement: 

 

              “Sandra could have known that Harvest contains traces of walnuts.""","Please indicate your tendency towards the following question:

 
""How blameworthy is Sandra for not knowing that Harvest contains traces of walnuts?""","Please answer the following questions: 



The new flour of the brand ""Homestead"" ...","The e-mail of the bakery manager contains the information that ""Homestead"" ...",Anne did not read the email...,Anne ...,"Please rate how much you agree or disagree with the following statement: 



                         “Anne caused the customer's allergic reaction.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently. In the following text box, we would like you to write down what could have gone differently so that the customer would not have suffered an allergic reaction. (Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.) ""If ____________________________, the customer would not have suffered an allergic reaction.""","Please rate how much you agree or disagree with the following statement: 

 

              “Anne could have known that Homestead contains traces of hazelnuts.""","Please indicate your tendency towards the following question:

 

""How blameworthy is Anne for not knowing that Homestead contains traces of hazelnuts?""","What is your age? (U.S. Census, 9 Categories)",What is your gender?,"Please comment if you had any issues with the survey.
Then click on the arrow to receive your payment code.",condition,order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID433""}","{""ImportId"":""QID466""}","{""ImportId"":""QID356""}","{""ImportId"":""QID454""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID441_TEXT""}","{""ImportId"":""QID461_1""}","{""ImportId"":""QID456_1""}","{""ImportId"":""QID435""}","{""ImportId"":""QID467""}","{""ImportId"":""QID398""}","{""ImportId"":""QID457""}","{""ImportId"":""QID400_1""}","{""ImportId"":""QID444_TEXT""}","{""ImportId"":""QID458_1""}","{""ImportId"":""QID459_1""}","{""ImportId"":""QID437""}","{""ImportId"":""QID468""}","{""ImportId"":""QID403""}","{""ImportId"":""QID470""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID446_TEXT""}","{""ImportId"":""QID471_1""}","{""ImportId"":""QID472_1""}","{""ImportId"":""QID439""}","{""ImportId"":""QID474""}","{""ImportId"":""QID408""}","{""ImportId"":""QID475""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID448_TEXT""}","{""ImportId"":""QID476_1""}","{""ImportId"":""QID477_1""}","{""ImportId"":""QID423""}","{""ImportId"":""QID478""}","{""ImportId"":""QID413""}","{""ImportId"":""QID479""}","{""ImportId"":""QID415_1""}","{""ImportId"":""QID450_TEXT""}","{""ImportId"":""QID480_1""}","{""ImportId"":""QID481_1""}","{""ImportId"":""QID426""}","{""ImportId"":""QID482""}","{""ImportId"":""QID428""}","{""ImportId"":""QID483""}","{""ImportId"":""QID430_1""}","{""ImportId"":""QID452_TEXT""}","{""ImportId"":""QID484_1""}","{""ImportId"":""QID485_1""}","{""ImportId"":""QID421_TEXT""}","{""ImportId"":""QID422""}","{""ImportId"":""QID390_TEXT""}","{""ImportId"":""condition""}","{""ImportId"":""order""}"
2020-09-10 18:33:56,2020-09-10 18:39:43,0,184.155.125.61,100,346,1,2020-09-10 18:39:43,R_2Eo5BnMi39NEtIa,,,,,43.5861968994140625,-116.5872955322265625,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,5,had been more careful with her emails,5,5,1,1,2,2,7,Anne had checked her emails like she was supposed to,7,7,22,2,,3,1
2020-09-10 18:35:58,2020-09-10 18:40:25,0,98.167.113.206,100,267,1,2020-09-10 18:40:25,R_NX5evWYBqcClHvb,,,,,36.0113067626953125,-115.20379638671875,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,the bakery manager would have told the information about the flour face to face,1,2,1,1,2,2,6,Anne did her job and read the email,7,6,36,2,,3,1
2020-09-10 18:33:58,2020-09-10 18:40:42,0,47.30.139.179,100,404,1,2020-09-10 18:40:42,R_3IQ7d36wBq99QXQ,,,,,28.6519012451171875,77.23150634765625,anonymous,EN,,,,Noah,,1,1,1,2,3,Upgraded email service had not developed bug,2,2,1,1,2,2,6,Dr Smith had chosen to read email and taken action accordingly,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,,1,1
2020-09-10 18:34:41,2020-09-10 18:40:51,0,97.84.226.92,100,370,1,2020-09-10 18:40:51,R_2tfHRH8Rn0pVwjW,,,,,43.1772003173828125,-85.2472991943359375,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,1,1,1,2,4,"Alex's email worked properly, he could have read the email and",1,1,1,1,2,2,5,Bob had read his email,1,5,,,,,,,,,,,,,,,,,41,1,,2,2
2020-09-10 18:38:19,2020-09-10 18:40:59,0,173.94.105.255,100,159,1,2020-09-10 18:40:59,R_31MFj94KXfzkLq5,,,,,36.1824951171875,-79.810302734375,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,1,1,1,2,6,If he read the email,6,4,1,1,2,2,6,he had read the email,7,6,,,,,,,,,,,,,,,,,23,2,,2,1
2020-09-10 18:37:26,2020-09-10 18:42:09,0,71.112.131.213,100,283,1,2020-09-10 18:42:10,R_3NUFNxMUaOwGu05,,,,,40.346893310546875,-79.868896484375,anonymous,EN,,,,,James,1,1,1,2,7,the e-mail didn't have a bug and send the e-mail to spam...,1,4,1,1,2,2,7,the doctor would have read the e-mail...,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,n/a,1,2
2020-09-10 18:33:59,2020-09-10 18:42:13,0,107.9.150.178,100,493,1,2020-09-10 18:42:13,R_7VQ3WmjCYwmOVvX,,,,,41.4600067138671875,-82.17479705810546875,anonymous,EN,Emma,,,,,1,1,1,2,1,The email had not been marked as spam.,2,1,1,1,2,2,5,Dr. Smith had read the email from the pharmacy manager,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,,1,2
2020-09-10 18:37:19,2020-09-10 18:43:33,0,64.83.232.16,100,373,1,2020-09-10 18:43:33,R_2ON2SF416znUwpY,,,,,44.009002685546875,-92.393402099609375,anonymous,EN,,,Ava,,,1,1,1,2,6,"Dr. Jones has read the email from the manager,",1,6,1,1,2,2,7,Dr. Smith has got a chance to read the email,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1,none,1,1
