,participant,condition,scenario,cf_1,counterfactual_1_FirstCoder,counterfactual_1_SecondCoder,counterfactual_1_difference,counterfactual_1_resolved,cf_2,counterfactual_2_FirstCoder,counterfactual_2_SecondCoder,counterfactual_2_difference,counterfactual_2_resolved
1,1,2,garden,Alex had read all of his emails,2_2,2_2,,,Bob had checked all of his emails,2_2,2_2,,
2,2,3,bakery,Sandra knew there were nuts,2_0,2_0,,,Anne had checked further,2_1,2_1,,
3,4,2,garden,Alex had read more than 1 email,2_1,2_1,,,Bob had read more than just one email,2_1,2_1,,
4,7,3,bakery,Sandra would have checked all of her emails.,2_2,2_2,,,Anne would have looked at other emails,2_2,2_1,,
5,8,3,bakery,Sandra knows that the 'Harvest' flour contains traces of walnuts,2_0,2_0,,,"Anne knows that the 'Homestead' flour contains traces of hazelnuts,",2_0,2_0,,
6,9,2,garden,"If Alex had read all of the emails, the Bourbon roses would not have died.",2_2,2_2,,,"If Bob had checked all the emails before using the Nutrit, the China roses would not have died.",2_2,2_2,,
7,10,1,hospital,not for the medicine,3,4,X,4,not for the medicine,3,4,X,4
8,11,2,garden,he had read all ten emails,2_2,2_2,,,he had read any of the other emails,2_1,2_1,,
9,12,1,hospital,Dr Jones would have looked at all 10 e-mails and took precaution,2_2,2_2,,,Dr Smith would have looked into all the 10 e-mails and took precaution,2_2,2_2,,
10,14,3,bakery,she would have been more careful,3,3,,,she would have been diligent,3,3,,
11,15,3,bakery,"If Sandra had made sure to reach every email from the manufacturer before using the product like most people would, the customer would not have suffered an allergic reaction.",2_2,2_2,,,"If Anne had read every email about the product like a conscientious baker would, the customer would not have suffered an allergic reaction.",2_2,2_2,,
12,16,1,hospital,we had regulation and actually tested drugs before drs prescribed them,4,4,,,trump hadnt turnd the fda into the federa;l dumbass admin,X,4,X,4
13,17,3,bakery,the emails made it clear that it contains traces of walnuts,2_4,2_4,,,the customer checked in on the other emails,2_2,2_1,,
14,18,2,garden,he had read all ten emails,2_2,2_2,,,he had read any other of the emails,2_1,2_1,,
15,20,2,garden,"If the botanical garden communicated more effectively with Alex, the Bourbon roses would not have died",2_4,2_4,,,"If the botanical garden communicated more effectively to its employees, the China roses would not have died.",2_4,2_4,,
16,21,2,garden,Alex had read all the emails,2_2,2_2,,,"Bob had looked at the rest of the emails, or all of the test results had been sent in a single email",2_2,2_2,,
17,22,2,garden,Alex didnt buy splendor,1,1,,,Bob researched more,2_3,2_3,,
18,23,3,bakery,Sandra had kept up with reading the emails about walnut traces,2_2,2_2,,,Anne kept up with reading the emails that by majority say the flour has traces of hazelnut,2_2,2_2,,
19,24,2,garden,he had read all ten emails,2_2,2_2,,,he had read the second email,2_1,2_1,,
20,26,2,garden,he had read all ten emails ,2_2,2_2,,,he had read any of the other emails,2_1,2_1,,
21,28,3,bakery,"If Sandra had read all of the emails, the customer would not have suffered an allergic reaction.",2_2,2_2,,,"If Anne had read more than one email, she would have known that the ""Homestead"" flour contained traces of hazelnuts and the customer would not have suffered an allergic reaction.",2_1,2_1,,
22,29,3,bakery,she had checked all ten emails,2_2,2_2,,,she would have checked any of the other emails,2_1,2_1,,
23,30,3,bakery,Sandra had looked at all the emails,2_2,2_2,,,Anne had looked at all the emails,2_2,2_2,,
24,32,3,bakery,she had read all ten emails,2_2,2_2,,,she had read any of the other emails,2_1,2_1,,
25,33,3,bakery,"according to me,the reason for allergic reaction is harvest flour",X,4,X,4,anne is the main reason for allergic reaction,X,3,X,3
26,34,2,garden,Alex would have read all ten emails,2_2,2_2,,,Bob would have read all of the emails instead of just one,2_2,2_2,,
27,35,1,hospital,Dr. Jones had read all 10 emails,2_2,2_2,,,Dr. Smith had checked all 10 emails,2_2,2_2,,
28,39,3,bakery,"Sandra had done her due diligence in reading each of the e-mails, she would have known that the Harvest flour could contain traces of walnuts and therefore should be avoided in nut allergy friendly baking applications.",2_2,2_2,,,"Anne had read her e-mails each time (or all of the them at one time, depending on how they were delivered to her), then she would have known that the Homestead flour definitely contains traces of hazelnut and would not have used it and",2_2,2_2,,
29,43,2,garden,If Alex had read all the emails he would have seen the 10th one and known that Splendor would kill the rose.,2_2,2_2,,,If Bob had read all the emails the China roses would not have died,2_2,2_2,,
