StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q38,Q39,Q40,Q41,H_Check_fact_1,H_Check_test_1,H_Check_read_1,H_Check_know_1,H_C_1_1,H_CF_1,H_K_1_1,H_B_1_1,H_Check_fact_2,H_Check_test_2,H_Check_read_2,H_Check_know_2,H_C_2_1,H_CF_2,H_K_2_1,H_B_2_1,G_Check_fact_1,G_Check_test_1,G_Check_read_1,G_Check_know_1,G_C_1_1,G_CF_1,G_K_1_1,G_B_1_1,G_Check_fact_2,G_Check_test_2,G_Check_read_2,G_Check_know_2,G_C_2_1,G_CF_2,G_K_2_1,G_B_2_1,B_Check_fact_1,B_Check_test_1,B_Check_read_1,B_Check_know_1,B_C_1_1,B_CF_1,B_K_1_1,B_B_1_1,B_Check_fact_2,B_Check_test_2,B_Check_read_2,B_Check_know_2,B_C_2_1,B_CF_2,B_K_2_1,B_B_2_1,Age,Gender,Q390,condition,order
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)","Please answer the following questions: 

 

The new blood-thinning drug ""Afibo""...",From the ten e-mails with the test results ...,Dr Jones ...,Dr Jones ...,"Please rate how much you agree or disagree with the following statement: 



                        “Dr Jones caused the patient's leg cramps.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the patient would not have suffered mild leg cramps. 

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the patient would not have suffered leg cramps.""","Please rate how much you agree or disagree with the following statement: 

 

“Dr Jones could have known that Afibo causes mild leg cramps.”","Please indicate your tendency to the following question:

 

""How blameworthy is Dr Jones for not knowing that Afibo causes mild leg cramps?""","Please answer the following questions: 

 

The new blood-thinning drug ""Corus""...",From the ten e-mails with the test results ...,Dr Smith ...,Dr Smith ...,"Please rate how much you agree or disagree with the following statement: 



                    “Dr Smith caused the patient's leg cramps.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the patient would not have suffered mild leg cramps. 

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the patient would not have suffered leg cramps.""","Please rate how much you agree or disagree with the following statement:


 

“Dr Smith could have known that Corus causes mild leg cramps.”","Please indicate your tendency with the following question:

 

""How blameworthy is Dr Smith for not knowing that Corus causes mild leg cramps?""","Please answer the following questions: 

 

 The new fertilizer ""Splendor""...",From the ten e-mails with the test results ...,Alex ...,Alex ...,"Please rate how much you agree or disagree with the following statement: 



                  “Alex caused the Bourbon roses to die.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the Bourbon roses would not have died.

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the Bourbon roses would not have died.""","Please rate how much you agree or disagree with the following statement:

 

                 “Alex could have known that Splendor harms Bourbon roses.”","Please indicate your tendency towards the following question:

 

""How blameworthy is Alex for not knowing that Splendor harms Bourbon roses?""","Please answer the following questions: 

 

 The new fertilizer ""Nutrit""...",From the ten e-mails with the test results ...,Bob ...,Bob ...,"Please rate how much you agree or disagree with the following statement: 



                         “Bob caused the China roses to die.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 In the following text box, we would like you to write down what could have gone differently so that the China roses would not have died. (Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.) ""If __________________________________, the China roses would not have died.""","Please rate how much you agree or disagree with the following statement:

 

                       “Bob could have known that Nutrit harms China roses.”","Please indicate your tendency towards the following question:

 

""How blameworthy is Bob for not knowing that Nutrit harms China roses?""","Please answer the following questions: 



The new flour of the brand ""Harvest""...","From the ten e-mails with the test results, ...",Sandra ...,Sandra ...,"Please rate how much you agree or disagree with the following statement: 



                          “Sandra caused the customer's allergic reaction.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the customer would not have suffered an allergic reaction.

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If ____________________________, the customer would not have suffered an allergic reaction.""","Please rate how much you agree or disagree with the following statement: 

 

              “Sandra could have known that Harvest contains traces of walnuts.""","Please indicate your tendency towards the following question:

 
""How blameworthy is Sandra for not knowing that Harvest contains traces of walnuts?""","Please answer the following questions: 



The new flour of the brand ""Homestead"" ...","From the ten e-mails with the test results, ...",Anne...,Anne ...,"Please rate how much you agree or disagree with the following statement: 



                         “Anne caused the customer's allergic reaction.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently. In the following text box, we would like you to write down what could have gone differently so that the customer would not have suffered an allergic reaction. (Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.) ""If ____________________________, the customer would not have suffered an allergic reaction.""","Please rate how much you agree or disagree with the following statement: 

 

              “Anne could have known that Homestead contains traces of hazelnuts.""","Please indicate your tendency towards the following question:

 

""How blameworthy is Anne for not knowing that Homestead contains traces of hazelnuts?""","What is your age? (U.S. Census, 9 Categories)",What is your gender?,"Please comment if you had any issues with the survey.
Then click on the arrow to receive your payment code.",condition,order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID433""}","{""ImportId"":""QID466""}","{""ImportId"":""QID356""}","{""ImportId"":""QID454""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID441_TEXT""}","{""ImportId"":""QID461_1""}","{""ImportId"":""QID456_1""}","{""ImportId"":""QID435""}","{""ImportId"":""QID467""}","{""ImportId"":""QID398""}","{""ImportId"":""QID457""}","{""ImportId"":""QID400_1""}","{""ImportId"":""QID444_TEXT""}","{""ImportId"":""QID458_1""}","{""ImportId"":""QID459_1""}","{""ImportId"":""QID437""}","{""ImportId"":""QID468""}","{""ImportId"":""QID403""}","{""ImportId"":""QID470""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID446_TEXT""}","{""ImportId"":""QID471_1""}","{""ImportId"":""QID472_1""}","{""ImportId"":""QID439""}","{""ImportId"":""QID474""}","{""ImportId"":""QID408""}","{""ImportId"":""QID475""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID448_TEXT""}","{""ImportId"":""QID476_1""}","{""ImportId"":""QID477_1""}","{""ImportId"":""QID423""}","{""ImportId"":""QID478""}","{""ImportId"":""QID413""}","{""ImportId"":""QID479""}","{""ImportId"":""QID415_1""}","{""ImportId"":""QID450_TEXT""}","{""ImportId"":""QID480_1""}","{""ImportId"":""QID481_1""}","{""ImportId"":""QID426""}","{""ImportId"":""QID482""}","{""ImportId"":""QID428""}","{""ImportId"":""QID483""}","{""ImportId"":""QID430_1""}","{""ImportId"":""QID452_TEXT""}","{""ImportId"":""QID484_1""}","{""ImportId"":""QID485_1""}","{""ImportId"":""QID421_TEXT""}","{""ImportId"":""QID422""}","{""ImportId"":""QID390_TEXT""}","{""ImportId"":""condition""}","{""ImportId"":""order""}"
2020-10-15 17:59:54,2020-10-15 18:00:35,0,68.202.37.26,100,41,1,2020-10-15 18:00:35,R_21v4v1jQbZAavPM,,,,,29.042205810546875,-81.2863006591796875,anonymous,EN,,benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15 18:00:16,2020-10-15 18:01:30,0,122.174.227.38,100,74,1,2020-10-15 18:01:31,R_b7tnqh4VEgArglP,,,,,13.087799072265625,80.27850341796875,anonymous,EN,emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15 18:00:01,2020-10-15 18:03:33,0,47.35.194.33,100,211,1,2020-10-15 18:03:33,R_31XwmhSxms5Jypo,,,,,35.0460052490234375,-81.9810028076171875,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,1,1,1,2,7,Alex had read all of his emails,6,6,1,2,1,2,7,Bob had checked all of his emails,7,7,,,,,,,,,,,,,,,,,45,2,,2,2
2020-10-15 18:00:05,2020-10-15 18:03:34,0,97.81.175.24,100,208,1,2020-10-15 18:03:34,R_3PFS3yU2eKrbLOd,,,,,36.217803955078125,-85.54229736328125,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,Sandra knew there were nuts,1,1,1,2,1,2,4,Anne had checked further,4,4,53,1,,3,1
2020-10-15 18:03:18,2020-10-15 18:03:52,0,172.241.186.181,100,33,1,2020-10-15 18:03:52,R_2AXYhOC3Cy30gsC,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15 18:00:02,2020-10-15 18:03:52,0,173.54.214.132,100,229,1,2020-10-15 18:03:52,R_2w17wphuD1W8smF,,,,,40.7303924560546875,-74.27269744873046875,anonymous,EN,Emma,,,,,1,2,1,1,6,good activity.,7,6,2,1,2,1,6,good activity.,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,Thanks,1,1
2020-10-15 17:59:51,2020-10-15 18:03:53,0,72.185.190.207,100,242,1,2020-10-15 18:03:54,R_2CcSTUBqD79wzf4,,,,,28.2136993408203125,-82.68090057373046875,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,1,1,1,2,2,Alex had read more than 1 email,2,2,1,2,1,2,3,Bob had read more than just one email,6,2,,,,,,,,,,,,,,,,,47,1,none,2,2
2020-10-15 17:59:48,2020-10-15 18:04:02,0,174.100.13.61,100,253,1,2020-10-15 18:04:02,R_2awZhU6PCDnccXO,,,,,42.0753021240234375,-80.06710052490234375,anonymous,EN,Emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,"Sandra would have drawn conclusions based on the first nine and not ignore anomalies ",7,1,1,1,1,2,7,Anne would have not made assumptions based on the first email and ignore the others,7,7,30,1,,3,2
