participant,participant,condition,scenario,cf_externally_caused,counterfactual_1_FirstCoder,counterfactual_1_SecondCoder,counterfactual_1_difference,counterfactual_1_resolved,cf_self_caused,counterfactual_2_FirstCoder,counterfactual_2_SecondCoder,counterfactual_2_difference,counterfactual_2_resolved
1,1,1,hospital,the doctor had researched the drug further and not prescribed it,2_3,2_3,,,the doctor had researched the drug and not prescribed it,2_3,2_3,,
2,2,2,garden,the email had contained the warning,2_1,2_1,,,Bob had done his research,2_3,2_3,,
4,4,3,bakery,"""If the Bakery Manager would have proofread her e-mail prior to sending to make sure all pertinent details were included in it,  the customer would not have suffered an allergic reaction.""",2_1,2_4,X,2_1,"the Bakery Manager had posted the complete information in the bake shop instead of just relying on e-mail to inform her employees, ",2_1,2_4,X,2_4
5,5,1,hospital,Dr. Jones had read up on this information by reading the information that comes from the pharmaceutical company directly instead of relying on a summary of it given by the pharmacist that didn't contain it,2_3,2_3,,,Dr. Smith had read up on the medication in any one of a number of places as doctors should do before prescribing a new medicine OR (the pharmacist had included this information and Dr. Smith had read that email),2_3,2_3,,
6,6,3,bakery,If Sandra confirmed (asked) Harvest whether it had nuts then the customer would not have suffered an allergic reaction.,2_3,2_3,,,If Anne had contacted Homestead personally to confirm whether it had nuts then the customer would not have suffered an allergic reaction.,2_3,2_3,,
7,7,2,garden,the email had contained the harmful effects information,2_1,2_1,,,the email had contained the information about harmful effects AND if Bob would have read the email,2_2,2_2,,
9,9,2,garden,Alex were made aware of the truth and acted on this information,2_1,2_4,X,2_4,Bob read the email and it contained the information,2_2,2_2,,
12,12,2,garden,alex should have researched the fertilizer splendor or read on the packaging and he probaly could have found out splendor would kill his bourbon roses.,2_3,2_3,,,If Bob would have read the e-mail that told him Nutrit could harm the china roses.,2_2,2_2,,
14,14,3,bakery,the email had contained the information about the flour containing traces of walnuts,2_1,2_1,,,the email had contained the nut allergy information and Anne had read the email,2_2,2_2,,
15,15,2,garden,"If the general manager including the negative information about Splendor, the Bourbon roses would not have died.",2_1,2_1,,,"If the garden manager included the negative information about Nutrit and Bob read the email, the China roses would not have died.",2_2,2_2,,
16,16,2,garden,the email had all the relevant information,2_1,2_1,,,Bob had known about the fertilizer,2_0,2_0,,
17,17,1,hospital,pharmacist notified the doctor in the email that there were side effects to patients with AB-positive blood type,2_1,2_1,,,the pharmacist included the side effect comment in the email and the doctor had read the email,2_2,2_2,,
21,21,1,hospital,"If the pharmacy had included information about Afibo causing leg cramps in the email sent to Doctor Jones, the patient would not have suffered leg cramps.",2_1,2_1,,,"If the pharmacy manager had told Doctor Smith that Corus causes leg cramps, he would have prescribed something else and the patient would not have suffered leg cramps.",2_4,2_4,,
22,22,3,bakery,the manager provided this information in the email,2_1,2_1,,,the manager provided the info in the email and Anne read the email,2_2,2_4,X,2_2
24,24,1,hospital,If the pharmacy did not forget to add the paragraph,2_1,2_1,,,The doctor had done more research on the drug he was giving out,2_3,2_3,,
26,26,3,bakery,the email had contained the correct information,2_1,2_1,,,the email contained the correct information and Anne had read it,2_2,2_2,,
27,27,3,bakery,If you're going to bake for someone with a nut allergy you should do more thorough research into the ingredients. If Sandra did better research instead of just reading an e-mail without information in it then the customer would not have suffered an allergic reaction.,2_3,2_3,,,If Anne had looked into the ingredients of the flour then she would have known that it had hazelnuts in it and the customer would not have suffered an allergic reaction.,2_3,2_3,,
28,28,2,garden,"If the email had included that the fertilizer was harmful to Bourbon roses, the Bourbon roses would not have died. ",2_1,2_1,,,"If the email would have included the harmful side affects to the China roses, the China roses would not have died. ",2_1,2_1,,
29,29,3,bakery,Harvest email would have contained the information on the traces of hazlenuts,2_1,2_1,,,Should have included in a phone call the side effects.,2_4,2_4,,
30,30,3,bakery,the manager had properly relayed the relevant information,2_1,2_4,X,2_4,"the head of the store had used a more reliable means of communication,",2_4,2_4,,
31,31,1,hospital,The patient was prescribed heparin,1,1,,,Dr Smith would have prescribed the other blood thinner,1,1,,
32,32,2,garden,"the email would have contained the missing warning paragraph,",2_1,2_1,,,"the paragraph on harmful effects had been in the email, and Bob would have read that email",2_2,2_2,,
34,34,2,garden,If the manager of the Botanical Garden had instructed the staff in his letter not to use the fertilizer on Bourbon Roses but had researched and found an alternative for that particular plant it would not have died. ,2_4,2_1,X,2_4,"If the manager had let the staff know not to use the ""Nutrit"" on the China Roses and as in the other scenario- provided an alternative after doing some research then the roses would not have died. ",2_4,2_4,,
36,36,3,bakery,the bakery manager had mentioned in her email that the new flour contained traces of walnuts,2_1,2_1,,,the bakery manager had mentioned in the email that the new flour contains traces of hazelnuts and Anne had read the email,2_2,2_2,,
37,37,3,bakery,"If Sandra had not taken the email for granted and assumed it would contain all pertinent information and she further researched the new flour, the customer would not have suffered an allergic reaction.",2_3,2_3,,,"If Anne would have taken the time to research the new flour being used since this was a special request, the customer would not have suffered an allergic reaction.",2_3,2_3,,
38,38,1,hospital,someone would have told dr. jones about the side effects of afibo,2_4,2_4,,,someone would have told dr. smith about the side effects of corus,2_4,2_4,,
39,39,2,garden,The email had said something about them,2_1,2_1,,,Bob had read his email and the information was in the email,2_2,2_2,,
41,41,2,garden,If the email would have contained the correct information the Bourbon roses would not have died. ,2_1,2_1,,,If the manager would have made it known to the staff about the new fertilzer the china roses would not have died. ,2_4,2_4,,
42,42,2,garden,someone had told alex that splendor hurts the bourbon rose,2_4,2_4,,,someone would have told bob about the side effects of the new fertilizer,2_4,2_4,,
43,43,3,bakery,Sandra knew about the flour having walnuts,2_0,2_0,,,Anne knew that the floor had nuts in it,2_0,2_0,,
45,45,1,hospital,The e-mail would of listed the side effects.,2_1,2_1,,,Dr. Smith would of read the e-mail,2_2_1,2_2_1,,
46,46,3,bakery,"If Sandra asked the bakery managed whether the new flour contained walnuts or any other allergens, she could have not used the flour, and the customer would not have suffered an allergic reaction.",2_3,2_3,,,"If Anne investigated whether Homestead contained hazlenuts, she could have not used the flour, and the customer would not have suffered an allergic reaction.",2_3,2_3,,
47,47,2,garden,"If the email contained the correct information, the Bourbon roses would not have died because Alex would have been aware of the problem and not given them the fertilizer.",2_1,2_1,,,"If someone would have told Bob verbally that the Nutrit harms China roses, they would not have died because he wouldn't have used it.",2_4,2_4,,
48,48,2,garden,"If the garden manager had made sure to include the negative effects of the new fertilizer Splendor in his email, the Bourbon roses would not have died.",2_1,2_1,,,"If the garden manager and Bob the gardener had paid more attention to their jobs, the China roses would not have died.",2_4,3,X,2_4
