StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q38,Q39,Q40,Q41,H_Check_fact_1,H_Check_mail_1,H_Check_read_1,H_Check_know_1,H_C_1_1,H_CF_1,H_K_1_1,H_B_1_1,H_Check_fact_2,H_Check_mail_2,H_Check_read_2,H_Check_know_2,H_C_2_1,H_CF_2,H_K_2_1,H_B_2_1,H_look_A1_1_1,H_look_A2_1_1,H_outcome_A1_1,H_outcome_A2_4,H_look_A2_2_1,H_look_A1_2_1,H_outcome_A2_1,H_outcome_A1_4,G_Check_fact_1,G_Check_mail_1,G_Check_read_1,G_Check_know_1,G_C_1_1,G_CF_1,G_K_1_1,G_B_1_1,G_Check_fact_2,G_Check_mail_2,G_Check_read_2,G_Check_know_2,G_C_2_1,G_CF_2,G_K_2_1,G_B_2_1,G_look_A1_1_1,G_look_A2_1_1,G_outcome_A1_1,G_outcome_A2_4,G_look_A2_2_1,G_look_A1_2_1,G_outcome_A2_1,G_outcome_A1_4,B_Check_fact_1,B_Check_mail_1,B_Check_read_1,B_Check_know_1,B_C_1_1,B_CF_1,B_K_1_1,B_B_1_1,B_Check_fact_2,B_Check_mail_2,B_Check_read_2,B_Check_know_2,B_C_2_1,B_CF_2,B_K_2_1,B_B_2_1,B_look_A1_1_1,B_look_A2_1_1,B_outcome_A1_1,B_outcome_A2_4,B_look_A2_2_1,B_look_A1_2_1,B_outcome_A2_1,B_outcome_A1_4,Age,Gender,Q390,SC0,condition,order
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)","Please answer the following questions: 

 

The new blood-thinning drug ""Afibo""...",The e-mail of the pharmacy manager ...,Dr Jones ...,Dr Jones ...,"Please rate how much you agree or disagree with the following statement: 



                        “Dr Jones caused the patient's leg cramps.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the patient would not have suffered mild leg cramps. 

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the patient would not have suffered leg cramps.""","Please rate how much you agree or disagree with the following statement: 

 

“Dr Jones could have known that Afibo causes mild leg cramps.”","Please indicate your tendency with the following question:
  

""How blameworthy is Dr Jones for not knowing that Afibo causes mild leg cramps?""","Please answer the following questions: 

 

The new blood-thinning drug ""Corus""...",The e-mail of the pharmacy manager ...,Dr Smith ...,Dr Smith ...,"Please rate how much you agree or disagree with the following statement: 



                    “Dr Smith caused the patient's leg cramps.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the patient would not have suffered mild leg cramps. 

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the patient would not have suffered leg cramps.""","Please rate how much you agree or disagree with the following statement:


 

“Dr Smith could have known that Corus causes mild leg cramps.”","Please indicate your tendency with the following question:

  

""How blameworthy is Dr Smith for not knowing that Corus causes mild leg cramps?""","Please indicate your tendency to the following question about the first scenario with Dr Jones:

 

1) ""How likely is it that Dr Jones would check the e-mail of the pharmacy manager about ""Innohep""?""","Please indicate your tendency to the following question about the second scenario with Dr Smith:

 

2) ""How likely is it that Dr Smith would check the e-mail of the pharmacy manager about ""Innohep""?",3) How likely is it that a patient who needs beta blockers would suffer from nausea if ..... - Dr Jones were treating this patient?,3) How likely is it that a patient who needs beta blockers would suffer from nausea if ..... - Dr Smith were treating this patient?,"Please indicate your tendency to the following questions about the first scenario with Dr Smith:

 

1) ""How likely is it that Dr Smith would check the e-mail of the pharmacy manager about ""Innohep""?","Please indicate your tendency to the following questions about the second scenario with Dr Jones:

 

2) ""How likely is it that Dr Jones would check the e-mail of the pharmacy manager about ""Innohep""?""",3) How likely is it that a patient who needs beta blockers would suffer from nausea if ..... - Dr Smith were treating this patient?,3) How likely is it that a patient who needs beta blockers would suffer from nausea if ..... - Dr Jones were treating this patient?,"Please answer the following questions: 

 

 The new fertilizer ""Splendor""...",The e-mail of the garden manager ...,Alex ...,Alex ...,"Please rate how much you agree or disagree with the following statement: 



                  “Alex caused the Bourbon roses to die.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the Bourbon roses would not have died.

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the Bourbon roses would not have died.""","Please rate how much you agree or disagree with the following statement:

 

                 “Alex could have known that Splendor harms Bourbon roses.”","Please indicate your tendency towards the following question:

 

""How blameworthy is Alex for not knowing that Splendor harms Bourbon roses?""","Please answer the following questions: 

 

 The new fertilizer ""Nutrit""...",The e-mail of the garden manager ...,Bob ...,Bob ...,"Please rate how much you agree or disagree with the following statement: 



                         “Bob caused the China roses to die.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 In the following text box, we would like you to write down what could have gone differently so that the China roses would not have died. (Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.) ""If __________________________________, the China roses would not have died.""","Please rate how much you agree or disagree with the following statement:

 

                       “Bob could have known that Nutrit harms China roses.”","Please indicate your tendency towards the following question:

 

""How blameworthy is Bob for not knowing that Nutrit harms China roses?""","Please indicate your tendency to the following question about the first scenario with Alex:

 

1) ""How likely is it that Alex would check the e-mail of the garden manager about ""Weedol""?""","Please indicate your tendency to the following question about the second scenario with Bob:

 

2) ""How likely is it that Bob would check the e-mail of the garden manager about ""Weedol""?""","3) ""How likely is it that the Camellia plant would contract leaf spot disease if ...."" - Alex were taking care of the plant and surroundings?","3) ""How likely is it that the Camellia plant would contract leaf spot disease if ...."" - Bob were taking care of the plant and surroundings?","Please indicate your tendency to the following question about the first scenario with Bob:

 

2) ""How likely is it that Bob would check the e-mail of the garden manager about ""Weedol""?""","Please indicate your tendency to the following question about the second scenario with Alex:

 

2) ""How likely is it that Alex would check the e-mail of the garden manager about ""Weedol""?""","3) ""How likely is it that the Camellia plant would contract leaf spot disease if ...."" - Bob were taking care of the plant and surroundings?","3) ""How likely is it that the Camellia plant would contract leaf spot disease if ...."" - Alex were taking care of the plant and surroundings?","Please answer the following questions: 



The new flour of the brand ""Harvest""...",The e-mail of the bakery manager ...,Sandra ...,Sandra ...,"Please rate how much you agree or disagree with the following statement: 



                          “Sandra caused the customer's allergic reaction.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the customer would not have suffered an allergic reaction.

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If ____________________________, the customer would not have suffered an allergic reaction.""","Please rate how much you agree or disagree with the following statement: 

 

              “Sandra could have known that Harvest contains traces of walnuts.""","Please indicate your tendency towards the following question:

 
""How blameworthy is Sandra for not knowing that Harvest contains traces of walnuts?""","Please answer the following questions: 



The new flour of the brand ""Homestead"" ...",The e-mail of the bakery manager ...,Anne ...,Anne ...,"Please rate how much you agree or disagree with the following statement: 



                         “Anne caused the customer's allergic reaction.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently. In the following text box, we would like you to write down what could have gone differently so that the customer would not have suffered an allergic reaction. (Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.) ""If ____________________________, the customer would not have suffered an allergic reaction.""","Please rate how much you agree or disagree with the following statement: 

 

              “Anne could have known that Homestead contains traces of hazelnuts.""","Please indicate your tendency towards the following question:

 

""How blameworthy is Anne for not knowing that Homestead contains traces of hazelnuts?""","Please indicate your tendency to the following question about the first scenario with Sandra:

 

1) ""How likely is it that Sandra would check the e-mail of the bakery manager about ""Early Rise""?""","Please indicate your tendency to the following question about the second scenario with Anne:

 

2) ""How likely is it that Anne would check the e-mail of the bakery manager about ""Early Rise""?""","3) ""How likely is it that a customer who orders sesame allergy friendly bread would suffer from an allergic reaction if..."" - Sandra were baking the ordered bread?","3) ""How likely is it that a customer who orders sesame allergy friendly bread would suffer from an allergic reaction if..."" - Anne were baking the ordered bread?","Please indicate your tendency to the following question about the first scenario with Anne:

 

1) ""How likely is it that Anne would check the e-mail of the bakery manager about ""Early Rise""?""","Please indicate your tendency to the following question about the second scenario with Sandra:

 

2) ""How likely is it that Sandra would check the e-mail of the bakery manager about ""Early Rise""?""","3) ""How likely is it that a customer who orders sesame allergy friendly bread would suffer from an allergic reaction if... - Anne were baking the ordered bread?","3) ""How likely is it that a customer who orders sesame allergy friendly bread would suffer from an allergic reaction if... - Sandra were baking the ordered bread?","What is your age? (U.S. Census, 9 Categories)",What is your gender?,"Please comment if you had any issues with the survey, or if you noticed any errors or things to improve.
Then click on the arrow to receive your payment code.",Score,condition,order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID433""}","{""ImportId"":""QID466""}","{""ImportId"":""QID356""}","{""ImportId"":""QID454""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID441_TEXT""}","{""ImportId"":""QID461_1""}","{""ImportId"":""QID456_1""}","{""ImportId"":""QID435""}","{""ImportId"":""QID467""}","{""ImportId"":""QID398""}","{""ImportId"":""QID457""}","{""ImportId"":""QID400_1""}","{""ImportId"":""QID444_TEXT""}","{""ImportId"":""QID458_1""}","{""ImportId"":""QID459_1""}","{""ImportId"":""QID527_1""}","{""ImportId"":""QID529_1""}","{""ImportId"":""QID528_1""}","{""ImportId"":""QID528_4""}","{""ImportId"":""QID533_1""}","{""ImportId"":""QID532_1""}","{""ImportId"":""QID534_1""}","{""ImportId"":""QID534_4""}","{""ImportId"":""QID437""}","{""ImportId"":""QID468""}","{""ImportId"":""QID403""}","{""ImportId"":""QID470""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID446_TEXT""}","{""ImportId"":""QID471_1""}","{""ImportId"":""QID472_1""}","{""ImportId"":""QID439""}","{""ImportId"":""QID474""}","{""ImportId"":""QID408""}","{""ImportId"":""QID475""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID448_TEXT""}","{""ImportId"":""QID476_1""}","{""ImportId"":""QID477_1""}","{""ImportId"":""QID536_1""}","{""ImportId"":""QID537_1""}","{""ImportId"":""QID538_1""}","{""ImportId"":""QID538_4""}","{""ImportId"":""QID541_1""}","{""ImportId"":""QID540_1""}","{""ImportId"":""QID542_1""}","{""ImportId"":""QID542_4""}","{""ImportId"":""QID423""}","{""ImportId"":""QID478""}","{""ImportId"":""QID413""}","{""ImportId"":""QID479""}","{""ImportId"":""QID415_1""}","{""ImportId"":""QID450_TEXT""}","{""ImportId"":""QID480_1""}","{""ImportId"":""QID481_1""}","{""ImportId"":""QID426""}","{""ImportId"":""QID482""}","{""ImportId"":""QID428""}","{""ImportId"":""QID483""}","{""ImportId"":""QID430_1""}","{""ImportId"":""QID452_TEXT""}","{""ImportId"":""QID484_1""}","{""ImportId"":""QID485_1""}","{""ImportId"":""QID544_1""}","{""ImportId"":""QID545_1""}","{""ImportId"":""QID546_1""}","{""ImportId"":""QID546_4""}","{""ImportId"":""QID549_1""}","{""ImportId"":""QID548_1""}","{""ImportId"":""QID550_1""}","{""ImportId"":""QID550_4""}","{""ImportId"":""QID421_TEXT""}","{""ImportId"":""QID422""}","{""ImportId"":""QID390_TEXT""}","{""ImportId"":""SC_dg6cvM0c8VSlxfT""}","{""ImportId"":""condition""}","{""ImportId"":""order""}"
25/01/2021 15:54,25/01/2021 15:57,0,98.235.48.150,100,192,1,25/01/2021 15:57,R_SWeMn1hcPwly3Xr,,,,,40.2743988,-76.70619965,anonymous,EN,,,,,James,1,1,1,2,2,the doctor had researched the drug further and not prescribed it,4,3,1,1,2,2,1,the doctor had researched the drug and not prescribed it,2,2,100,53,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,,0,1,1
25/01/2021 15:55,25/01/2021 15:58,0,47.185.85.35,100,180,1,25/01/2021 15:58,R_2t5aMMn0TRY8j9K,,,,,32.93209839,-97.28340149,anonymous,EN,,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,the email had contained the warning,1,1,1,1,2,2,6,Bob had done his research,4,4,,,,,0,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,32,2,,0,2,2
25/01/2021 15:56,25/01/2021 15:58,0,98.16.95.86,100,129,1,25/01/2021 15:58,R_3ekvx9vUtU8kXkp,,,,,32.30259705,-84.00409698,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,the email would have contained the vital information that Harvest flour contained traces of Walnut,1,1,1,2,2,2,4,Anne read the email that contained the vital information of Homestead having traces of hazelnut,7,7,,,,,98,20,100,6,24,1,,0,3,2
25/01/2021 15:51,25/01/2021 15:59,0,108.219.50.139,100,467,1,25/01/2021 15:59,R_332L7WZ51kroPCM,,,,,38.98950195,-95.66280365,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,"""If the Bakery Manager would have proofread her e-mail prior to sending to make sure all pertinent details were included in it,  the customer would not have suffered an allergic reaction.""",2,1,1,1,2,2,2,"the Bakery Manager had posted the complete information in the bake shop instead of just relying on e-mail to inform her employees, ",2,2,100,50,0,49,,,,,49,2,,49,3,1
25/01/2021 15:52,25/01/2021 16:00,0,69.250.244.15,100,484,1,25/01/2021 16:00,R_278Puq8eJi7bXUv,,,,,39.07150269,-76.69629669,anonymous,EN,,Benjamin,,,,1,1,1,2,6,Dr. Jones had read up on this information by reading the information that comes from the pharmaceutical company directly instead of relying on a summary of it given by the pharmacist that didn't contain it,7,7,1,1,2,2,5,Dr. Smith had read up on the medication in any one of a number of places as doctors should do before prescribing a new medicine OR (the pharmacist had included this information and Dr. Smith had read that email),7,7,,,,,25,93,82,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2,These doctors are all grossly irresponsible for not reading directly from the source. Who does this?,0,1,2
25/01/2021 15:53,25/01/2021 16:00,0,45.144.80.95,100,393,1,25/01/2021 16:00,R_215p2LcDj4j48UH,,,,,34.07290649,-118.2606049,anonymous,EN,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,6,If Sandra confirmed (asked) Harvest whether it had nuts then the customer would not have suffered an allergic reaction.,7,6,1,1,2,2,7,If Anne had contacted Homestead personally to confirm whether it had nuts then the customer would not have suffered an allergic reaction.,7,7,92,9,13,91,,,,,45,1,None,104,3,1
25/01/2021 15:56,25/01/2021 16:00,0,97.95.115.55,100,217,1,25/01/2021 16:00,R_1NzxAUJwxymhxU1,,,,,42.98590088,-85.07099915,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,the email had contained the harmful effects information,1,1,1,1,2,2,4,the email had contained the information about harmful effects AND if Bob would have read the email,1,4,100,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,,0,2,1
25/01/2021 15:51,25/01/2021 16:01,0,24.17.145.217,100,581,1,25/01/2021 16:01,R_qz0uCYOARxSnEFr,,,,,47.20449829,-122.2662048,anonymous,EN,Emma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,6,Yes I agree to that. I felt very uneasy to that.,6,5,1,2,1,1,6,"Yes, I extremely agree about that.",6,5,81,69,64,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,1,No,0,2,1
