"","participant","condition","scenario","cf_knowledge","cf_no_knowledge"
"1",1,"2","garden","Alex had remembered that Splendor harms Bourbon roses,\","they had used the original fertilizer"
"2",2,"3","bakery","Sandra hadn't used the new flour that contained walnut","Anne was told that the new flour contained hazelnuts"
"3",3,"2","garden","Alex had not used ""Splendor""","Bob had known about Nutrit being harmful"
"4",4,"1","hospital","Dr Smith had not administered Corus to the patient","Dr Jones had researched the side effects of Afibo before administering it"
"5",5,"1","hospital","Dr. Smith had not administered Corus","Dr. Jones had known about the side effects of Afibo"
"6",6,"2","garden","Alex was truly committed to his the rose , he wouldn't have used the fertilizer and ","Bob had known that the Nutrit fertilizer is harmful to the China rose, he would not have used it ,"
"7",8,"1","hospital","taken the other drug","would have taken the other drug"
"8",9,"1","hospital","If suffered mild leg cramps,Dr Smith administers Corus to that patient. The drug helps to prevent the patient’s onset of thrombosis, but the patient also suffers from mild leg cramps.","Because the drug “Afibo” has only recently been ordered, Dr Jones does not know that this drug causes mild leg cramps in patients with blood type ‘AB-positive"
"9",10,"2","garden","If Alex had not fertilized the Bourbon roses with Splendor,  the Bourbon roses would not have died. Alex should not have used the product Splendor. It would have been better not to fertilize the rose at all.","If Bob had known about the negative effect of Nutrit on the China roses, he might not have used it and the China roses would not have died. It is always good when working with plants to research everything that you use on them before hand. It would be better not to fertilize them than to put something on them that causes their death."
"10",11,"3","bakery","Sandra didn't used Harvest ","Anne did't use Homestead product "
"11",12,"2","garden","Alex had not fertilized the Bourbon roses with the fertilizer ""Splendor""","Bob had known that the new fertilizer “Nutrit” harms China roses he would not have used it and"
"12",13,"3","bakery","Sandra would have informed the customer that her flour contains traces of nuts so she cannot sell a nutfree cake to her, the customer would not have bought the cake, and would not have suffered a reaction.","The bakery manager would have informed Anne about buying Homestead flour and its possible traces of hazelnut, Anne wouldn't have used and/or sold the customer the baked goods and they wouldn't have had an allergic reaction."
"13",14,"1","hospital","If this person did not have B-negative blood type, the patient would not have suffered leg cramps. This is a known side effect for people with B-negative blood types.","If Dr. Jones had conducted more research on Afibo, then patient would not have suffered leg cramps."
