participant,condition,scenario,cf_knowledge,analysis_knowledge,code_2,detailed_2,cf_no_knowledge,analysis_no_knowledge,code_1,detailed_1
1,2,garden,"Alex had remembered that Splendor harms Bourbon roses,\",remember fact,2,2_1,they had used the original fertilizer,alternative item,1,1_2
2,3,bakery,Sandra hadn't used the new flour that contained walnut,undoing action,1,1_1,Anne was told that the new flour contained hazelnuts,knowledge by external action,2,2_3
3,2,garden,"Alex had not used ""Splendor""",undoing action,1,1_1,Bob had known about Nutrit being harmful,knowledge by external action,2,2_1
4,1,hospital,Dr Smith had not administered Corus to the patient,undoing action,1,1_1,Dr Jones had researched the side effects of Afibo before administering it,knowledge by own action,2,2_2
5,1,hospital,Dr. Smith had not administered Corus,undoing action,1,1_1,Dr. Jones had known about the side effects of Afibo,knowledge,2,2_1
6,2,garden,"Alex was truly committed to his the rose , he wouldn't have used the fertilizer and ",commitment,3,3_3,"Bob had known that the Nutrit fertilizer is harmful to the China rose, he would not have used it ,",knowledge,2,2_1
8,1,hospital,taken the other drug,alternative action,1,1_2,would have taken the other drug,alternative item,1,1_2
9,1,hospital,"If suffered mild leg cramps,Dr Smith administers Corus to that patient. The drug helps to prevent the patient’s onset of thrombosis, but the patient also suffers from mild leg cramps.",ns,0,0,"Because the drug “Afibo” has only recently been ordered, Dr Jones does not know that this drug causes mild leg cramps in patients with blood type ‘AB-positive",ns,0,0
10,2,garden,"If Alex had not fertilized the Bourbon roses with Splendor,  the Bourbon roses would not have died. Alex should not have used the product Splendor. It would have been better not to fertilize the rose at all.",undoing action,1,1_1,"If Bob had known about the negative effect of Nutrit on the China roses, he might not have used it and the China roses would not have died. It is always good when working with plants to research everything that you use on them before hand. It would be better not to fertilize them than to put something on them that causes their death.",knowledge,2,2_2
11,3,bakery,Sandra didn't used Harvest ,undoing action,1,1_1,Anne did't use Homestead product ,undoing action,1,1_1
12,2,garden,"Alex had not fertilized the Bourbon roses with the fertilizer ""Splendor""",undoing action,1,1_1,Bob had known that the new fertilizer “Nutrit” harms China roses he would not have used it and,knowledge,2,2_1
13,3,bakery,"Sandra would have informed the customer that her flour contains traces of nuts so she cannot sell a nutfree cake to her, the customer would not have bought the cake, and would not have suffered a reaction.",additional action,3,3_1,"The bakery manager would have informed Anne about buying Homestead flour and its possible traces of hazelnut, Anne wouldn't have used and/or sold the customer the baked goods and they wouldn't have had an allergic reaction.",knowledge by external action,2,2_3
14,1,hospital,"If this person did not have B-negative blood type, the patient would not have suffered leg cramps. This is a known side effect for people with B-negative blood types.",different circumstances,4,4_1,"If Dr. Jones had conducted more research on Afibo, then patient would not have suffered leg cramps.",knowledge by own action,2,2_2
15,1,hospital,the doctor hadn't given the drug to the patient,undoing action,1,1_1,more research had been done on the drug and its side effects by the doctor or the hospital,knowledge by own action,2,2_2
16,1,hospital,sorguin is giving for treatment the patient would not have suffered leg cramps.,alternative item,1,1_2,if the doctor knows about afino about leg cramps the patient would not have suffered leg cramps.,knowledge,2,2_1
17,3,bakery,Harvest was not used,undoing action,1,1_1,Homestead wasn't used,undoing action,1,1_1
18,1,hospital,the doctor choose Sanguin ,alternative item,1,1_2,the doctor researched the drug,knowledge by own action,2,2_2
19,2,garden,"Alex had avoided using the Splendor fertilizer and instead used the fertilizer he normally used, the Bourbon roses would not have died",alternative item,1,1_2,"If someone had told Bob that the fertilizer hurts this type of rose, the China roses would not have died.",knowledge by other person,2,2_3
22,3,bakery,Sandra had been doing her job,additional action,3,3_1,The flour had been labelled more clearly.,knowledge by other person,4,4_3
26,3,bakery,If Sandra would have warned the customer that there were traces of walnuts in it before making the order then the customer will not have had an allergic reaction because they wouldn't have ordered that product.,additional action,3,3_1,If Anne would have did her due diligence on the flour brand then she would have found out that there were traces of hazelnut before ordering it.,knowledge by own action,2,2_2
27,2,garden,Alex would have not used that fertilizer,undoing action,1,1_1,Bob had not used that fertilizer,undoing action,1,1_1
28,3,bakery,Sandra listed allergens on her ingredients,additional action,3,3_1,Anne reviewed the ingredients to warn customers,additional action: agent,3,3_1
29,1,hospital,"""If the patient did not take 'Corus' , the patient would not have suffered leg cramps""",undoing action of 3rd person,4,4_1,""" If the patient did not take 'Afibo' , the patient would not have suffered leg cramps.""",undoing action of 3rd person,4,4_1
31,1,hospital,"If Dr. Smith had not administered Corus, the patient would not have suffered leg cramps.",undoing action,1,1_1,"If Dr. Jones had known that Afibo had side effects, he would not have administered it and the patient would not have suffered leg cramps.",knowledge,2,2_1_A
36,3,bakery,"If Sandra had not baked the customer a cake using that flour, the customer would not have had an allergic reaction.",undoing action,1,1_1,If the person responsible for purchasing the basic baking ingredients had done their due diligence and had not purchased flour with traces of nuts the customer would not have had an allergic reaction.,previous action by someone else,4,4_2
37,2,garden,He did not use the new fertilizer,undoing action,1,1_1,Bob would have read information about the new fertilizer,change of ep state by own action,2,2_2
38,1,hospital,Dr Smith had told the patient the side effects and asked their opinion on what drug they wanted,additional action,3,3_1,Dr Jones had done additional research on the drug,change of ep state by own action,2,2_2
39,3,bakery,Sanda could have used the flour that she knew did not contain traces of walnut or told the customer she could not make a cake without having allergens. ,alternative item,1,1_2,Anne could have been more careful and researched the new flour to make sure that it was nut free. ,change of ep state by own action,2,2_2
40,3,bakery,Sandra had used a correct flour,alternative item,1,1_2,Anne had been more knowledgeable about her product,change of ep state,2,2_1
41,1,hospital,"If Dr. Smith wanted to prescribe the more expensive drug, the patient would not have suffered leg cramps. If Dr. Smith thought the original drug would have worked better, the patient would not have suffered leg cramps.",alternative item,1,1_2,"If the patient was prescribed the original drug, the patient would not have suffered leg cramps. If Dr. Jones was trained about the effects of the the new drug, the patient would not have suffered leg cramps.",change of ep state by someone else,1,1_2
42,1,hospital,Doctor had chosen not to give new drug and instead had given old drug,alternative item,1,1_2,"Hospital had given full detail of new drug, including its side effects, to doctors",change of ep state by hospital,2,2_3
44,3,bakery,Sandra's boss had never replaced the old brand of flour with Harvest,prior action by boss,4,4_2,Anne's boss had made his employees aware that the Homestead brand had traces of hazelnuts,change of ep state by someone else,2,2_3
46,2,garden,"Alex have a mercy in his heart, the Bourbon rose would not have died. ",differnet character trait,3,3_3,"Bob avoided the new fertilizer, the China rose would not have died. ",undoing action,1,1_1
47,2,garden,"the manager did ethical checks and love towards plants as a measure before recruiting Alex, the Bourbon roses would not have died.",action by manager,4,4_2,the manager of the garden provided realtime information about the changes happening in the garden via an app the china roses would not have died.,someone else does sth,4,4_2
48,3,bakery,"If Sandra has used White Mill flour, which has no trace of nuts, the customer would not have had an allergic reaction.",alternative item,1,1_2,"If Ann had know that Homestead flour contained traces of hazelnuts, she could have used Green Farms flour so the customer would not have had an allergic reaction.",change of ep state,2,2_1
49,2,garden,Alex care more about everything,more care,3,3_3,Bob knew about the Nutrit,change of ep state,2,2_1
50,3,bakery,Sandra didn't use the flour,undoing action,1,1_1,The manufacture didn't change the recipe,someone else does sth,4,4_2
51,3,bakery,"""If Sandra was responsible and didn't use the Harvest flour that contained nuts, the customer ...""",more responsible,1,1_1," If Anne took the time to review the ingredients, but the Homestead flour didn't say anything about hazelnuts, then the sentence would be completed as ""If Homestead's label had been accurate, the customer ....""

If Anne was irresponsible and forgot to read the Homestead flour label, the the sentence would be completed as ""If Anne took the time to read the label, then the customer ...""",ep state,2,2_1
52,2,garden,if Alex greed didn't get in his way ,less greedy,3,3_3,if bob had not used the Nutrit fertilizer ,undoing action,1,1_1
53,2,garden,Alex had used old fertilizer instead of Splendor,alternative item,1,1_2,If botanical garden managers had told Bob everything about new fertilizer,ep state by others,2,2_3
54,1,hospital,Dr Smith gave the patient the drug Sanguin,alternative item,1,1_2,Dr Jones gave the patient the drug Heparine,alternative item,1,1_2
55,1,hospital,applied Sanguin as alternative,alternative item,1,1_2,applied alternative but effective dug,alternative item,1,1_2
56,2,garden,Alex did not use the cheaper fertilizer then,undo action,1,1_1,Bob had researched the new fertilizer before using then,ep state by own action,2,2_2
57,3,bakery,Sandra had been more honest with the customer that the flour contained traces of walnut,more honest with customer,3,3_1,Anne had shown competence by making sure the customer's health and needs were duly considered before making use of this new flour,ep state by own action,2,2_2
