participant,,condition,scenario,cf_knowledge,code_2_FirstCoder,code_2_SecondCoder,code_2_difference,code_2_resolved,detailed_2_FirstCoder,detailed_2,detailed_2_difference,cf_no_knowledge,code_1_FirstCoder,code_1_SecondCoder,code_1_difference,code_1_resolved,detailed_1_FirstCoder,detailed_1_SecondCoder,detailed_1_difference
1,,2,garden,"Alex had remembered that Splendor harms Bourbon roses,\",2,2,,,2_1,2_1,,they had used the original fertilizer,1,1,,,1_2,1_2,
2,,3,bakery,Sandra hadn't used the new flour that contained walnut,1,1,,,1_1,1_1,,Anne was told that the new flour contained hazelnuts,2,2,,,2_3,2_3,
3,,2,garden,"Alex had not used ""Splendor""",1,1,,,1_1,1_1,,Bob had known about Nutrit being harmful,2,2,,,2_1,2_1,
4,,1,hospital,Dr Smith had not administered Corus to the patient,1,1,,,1_1,1_1,,Dr Jones had researched the side effects of Afibo before administering it,2,2,,,2_2,2_2,
5,,1,hospital,Dr. Smith had not administered Corus,1,1,,,1_1,1_1,,Dr. Jones had known about the side effects of Afibo,2,2,,,2_1,2_1,
6,,2,garden,"Alex was truly committed to his the rose , he wouldn't have used the fertilizer and ",3,3,,,3_3,3_3,,"Bob had known that the Nutrit fertilizer is harmful to the China rose, he would not have used it ,",2,2,,,2_1,2_1,
8,,1,hospital,taken the other drug,1,1,,,1_2,1_2,,would have taken the other drug,1,1,,,1_2,1_2,
9,,1,hospital,"If suffered mild leg cramps,Dr Smith administers Corus to that patient. The drug helps to prevent the patient’s onset of thrombosis, but the patient also suffers from mild leg cramps.",0,0,,,0,0,,"Because the drug “Afibo” has only recently been ordered, Dr Jones does not know that this drug causes mild leg cramps in patients with blood type ‘AB-positive",0,0,,,0,0,
10,,2,garden,"If Alex had not fertilized the Bourbon roses with Splendor,  the Bourbon roses would not have died. Alex should not have used the product Splendor. It would have been better not to fertilize the rose at all.",1,1,,,1_1,1_1,,"If Bob had known about the negative effect of Nutrit on the China roses, he might not have used it and the China roses would not have died. It is always good when working with plants to research everything that you use on them before hand. It would be better not to fertilize them than to put something on them that causes their death.",2,2,,,2_2,2_1,X
11,,3,bakery,Sandra didn't used Harvest ,1,1,,,1_1,1_1,,Anne did't use Homestead product ,1,1,,,1_1,1_1,
12,,2,garden,"Alex had not fertilized the Bourbon roses with the fertilizer ""Splendor""",1,1,,,1_1,1_1,,Bob had known that the new fertilizer “Nutrit” harms China roses he would not have used it and,2,2,,,2_1,2_1,
13,,3,bakery,"Sandra would have informed the customer that her flour contains traces of nuts so she cannot sell a nutfree cake to her, the customer would not have bought the cake, and would not have suffered a reaction.",3,3,,,3_1,3_1,,"The bakery manager would have informed Anne about buying Homestead flour and its possible traces of hazelnut, Anne wouldn't have used and/or sold the customer the baked goods and they wouldn't have had an allergic reaction.",2,2,,,2_3,2_3,
14,,1,hospital,"If this person did not have B-negative blood type, the patient would not have suffered leg cramps. This is a known side effect for people with B-negative blood types.",4,4,,,4_1,4_1,,"If Dr. Jones had conducted more research on Afibo, then patient would not have suffered leg cramps.",2,2,,,2_2,2_2,
15,,1,hospital,the doctor hadn't given the drug to the patient,1,1,,,1_1,1_1,,more research had been done on the drug and its side effects by the doctor or the hospital,2,2,,,2_2,2_2,
16,,1,hospital,sorguin is giving for treatment the patient would not have suffered leg cramps.,1,1,,,1_2,1_2,,if the doctor knows about afino about leg cramps the patient would not have suffered leg cramps.,2,2,,,2_1,2_1,
17,,3,bakery,Harvest was not used,1,1,,,1_1,1_1,,Homestead wasn't used,1,1,,,1_1,1_1,
18,,1,hospital,the doctor choose Sanguin ,1,1,,,1_2,1_2,,the doctor researched the drug,2,2,,,2_2,2_2,
19,,2,garden,"Alex had avoided using the Splendor fertilizer and instead used the fertilizer he normally used, the Bourbon roses would not have died",1,1,,,1_2,1_2,,"If someone had told Bob that the fertilizer hurts this type of rose, the China roses would not have died.",2,2,,,2_3,2_3,
22,,3,bakery,Sandra had been doing her job,3,3,,,3_1,3_1,,The flour had been labelled more clearly.,2,4,X,4,2_3,4_3,X
26,,3,bakery,If Sandra would have warned the customer that there were traces of walnuts in it before making the order then the customer will not have had an allergic reaction because they wouldn't have ordered that product.,3,3,,,3_1,3_1,,If Anne would have did her due diligence on the flour brand then she would have found out that there were traces of hazelnut before ordering it.,2,3,X,2,2_2,3_3,X
27,,2,garden,Alex would have not used that fertilizer,1,1,,,1_1,1_1,,Bob had not used that fertilizer,1,1,,,1_1,1_1,
28,,3,bakery,Sandra listed allergens on her ingredients,3,3,,,3_1,3_1,,Anne reviewed the ingredients to warn customers,3,2,X,3,3_1,2_2,X
29,,1,hospital,"""If the patient did not take 'Corus' , the patient would not have suffered leg cramps""",4,4,,,4_1,4_1,,""" If the patient did not take 'Afibo' , the patient would not have suffered leg cramps.""",4,4,,,4_1,4_1,
31,,1,hospital,"If Dr. Smith had not administered Corus, the patient would not have suffered leg cramps.",1,1,,,1_1,1_1,,"If Dr. Jones had known that Afibo had side effects, he would not have administered it and the patient would not have suffered leg cramps.",2,2,,,2_1,2_1,
