StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q38,Q39,Q40,Q41,H_Check_fact_1,H_Check_know_1,H_C_1_1,H_CF_1,H_Check_fact_2,H_Check_know_2,H_C_2_1,H_CF_2,G_Check_fact_1,G_Check_know_1,G_C_1_1,G_CF_1,G_Check_fact_2,G_Check_know_2,G_C_2_1,G_CF_2,B_Check_fact_1,B_Check_know_1,B_C_1_1,B_CF_1,B_Check_fact_2,B_Check_know_2,B_C_2_1,B_CF_2,Age,Gender,Q390,condition,order
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)","Please answer the following questions: 

 

The new blood-thinning drug ""Afibo""...",Dr Jones ...,"Please rate how much you agree or disagree with the following statement: 



          “Dr Jones caused the patient's leg cramps.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the patient would not have suffered mild leg cramps. 

 


(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 


""If __________________________________, the patient would not have suffered leg cramps.""","Please answer the following questions: 

 

The new blood-thinning drug ""Corus""",Dr Smith,"Please rate how much you agree or disagree with the following statement: 



                    “Dr Smith caused the patient's leg cramps.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the patient would not have suffered mild leg cramps. 
(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)


 

""If __________________________________, the patient would not have suffered leg cramps.""","Please answer the following questions: 

 

 The new fertilizer ""Nutrit""",Bob,"Please rate how much you agree or disagree with the following statement: 



                          “Bob caused the China roses to die.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that

the China roses would not have died. 
(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)


 

""If __________________________________, the China roses would not have died.""","Please answer the following questions: 

 

 The new fertilizer ""Splendor""",Alex,"Please rate how much you agree or disagree with the following statement: 



                    “Alex caused the Bourbon roses to die.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that the Bourbon roses would not to have died. 
(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)



 

""If __________________________________, the Bourbon roses would not have died.""","Please answer the following questions: 



The new flour of the brand ""Homestead""",Anne,"Please rate how much you agree or disagree with the following statement: 



                              “Anne caused the customer's allergic reaction.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 

In the following text box, we would like you to write down what could have gone differently so that

the customer would not have had an allergic reaction from the cake. 
(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)


 

""If _______________________________ , the customer would not have had an allergic reaction.""","Please answer the following questions: 



The new flour of the brand ""Harvest""",Sandra,"Please rate how much you agree or disagree with the following statement: 



                          “Sandra caused the customer's allergic reaction.”","The next question is concerned with your thoughts about how the course of events in the scenario you just read could have gone differently.

 


In the following text box, we would like you to write down what could have gone differently so that

the customer would not have had an allergic reaction from the cake. 
(Your answer can be as short or long as you want; it does not need to fit exactly into the structure of the following example sentence.)

 

 

""If _______________________________ , the customer would not have had an allergic reaction.""","What is your age? (U.S. Census, 9 Categories)",What is your gender?,"Please comment if you had any issues with the survey or if have further suggestions for improvement.
Then click on the arrow to receive your payment code.",condition,order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID433""}","{""ImportId"":""QID464""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID441_TEXT""}","{""ImportId"":""QID435""}","{""ImportId"":""QID465""}","{""ImportId"":""QID400_1""}","{""ImportId"":""QID455_TEXT""}","{""ImportId"":""QID439""}","{""ImportId"":""QID466""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID459_TEXT""}","{""ImportId"":""QID437""}","{""ImportId"":""QID467""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID457_TEXT""}","{""ImportId"":""QID426""}","{""ImportId"":""QID468""}","{""ImportId"":""QID430_1""}","{""ImportId"":""QID463_TEXT""}","{""ImportId"":""QID423""}","{""ImportId"":""QID469""}","{""ImportId"":""QID415_1""}","{""ImportId"":""QID461_TEXT""}","{""ImportId"":""QID421_TEXT""}","{""ImportId"":""QID422""}","{""ImportId"":""QID390_TEXT""}","{""ImportId"":""condition""}","{""ImportId"":""order""}"
21/08/2020 15:32,21/08/2020 15:35,0,155.186.136.38,100,197,1,21/08/2020 15:35,R_3qIp3dQnHhgWEtZ,,,,,33.94819641,-83.99440002,anonymous,EN,,,,,James,,,,,,,,,1,2,7,they had used the original fertilizer,1,1,4,"Alex had remembered that Splendor harms Bourbon roses,\",,,,,,,,,57,1,,2,1
21/08/2020 15:33,21/08/2020 15:37,0,172.221.178.171,100,221,1,21/08/2020 15:37,R_12EA5LGu2uun4ht,,,,,38.4723053,-90.52310181,anonymous,EN,,,,Noah,,,,,,,,,,,,,,,,,,1,2,7,Anne was told that the new flour contained hazelnuts,1,1,7,Sandra hadn't used the new flour that contained walnut,25,2,,3,2
21/08/2020 15:34,21/08/2020 15:37,0,108.254.224.255,100,156,1,21/08/2020 15:37,R_3jTc7OUW0YKnXw0,,,,,34.6322937,-89.88549805,anonymous,EN,,Benjamin,,,,,,,,,,,,1,2,7,Bob had known about Nutrit being harmful,1,1,7,"Alex had not used ""Splendor""",,,,,,,,,30,2,,2,2
21/08/2020 15:37,21/08/2020 15:41,0,65.88.88.179,100,283,1,21/08/2020 15:41,R_QmmajdWtd7SiqCB,,,,,40.75889587,-73.99130249,anonymous,EN,,,,Noah,,1,2,7,Dr Jones had researched the side effects of Afibo before administering it,1,1,7,Dr Smith had not administered Corus to the patient,,,,,,,,,,,,,,,,,56,1,No problems,1,1
21/08/2020 15:35,21/08/2020 15:41,0,108.66.80.16,100,370,1,21/08/2020 15:41,R_2Uh0wHMJ2yGxAqo,,,,,32.62049866,-90.00610352,anonymous,EN,,,Ava,,,1,2,7,Dr. Jones had known about the side effects of Afibo,1,1,7,Dr. Smith had not administered Corus,,,,,,,,,,,,,,,,,56,2,,1,1
21/08/2020 15:32,21/08/2020 15:43,0,165.231.210.4,100,638,1,21/08/2020 15:43,R_2fCWpzwoyoSQip8,,,,,32.77670288,-96.80500031,anonymous,EN,,,,Noah,,,,,,,,,,1,2,2,"Bob had known that the Nutrit fertilizer is harmful to the China rose, he would not have used it ,",1,1,5,"Alex was truly committed to his the rose , he wouldn't have used the fertilizer and ",,,,,,,,,22,1,,2,1
21/08/2020 15:39,21/08/2020 15:44,0,103.44.96.234,100,265,1,21/08/2020 15:44,R_3k0QrbdDW4Kn9zL,,,,,11.00750732,76.96710205,anonymous,EN,,,Ava,,,,,,,,,,,,,,,,,,,1,1,5,you want cake,2,1,5,customer would not have ,25,1,,3,1
21/08/2020 15:33,21/08/2020 15:46,0,74.74.76.163,100,779,1,21/08/2020 15:46,R_2VCTu2OJ2lgILyi,,,,,42.3256073,-77.65930176,anonymous,EN,,,Ava,,,1,2,1,would have taken the other drug,1,1,5,taken the other drug,,,,,,,,,,,,,,,,,28,1,,1,1
