Column1,participant,condition,scenario,cf_externally_caused,code_1,cf_self_caused,code_2
1,1,3,bakery,had been more careful with her emails,2_5,Anne had checked her emails like she was supposed to,2_2
2,2,3,bakery,the bakery manager would have told the information about the flour face to face,2_4,Anne did her job and read the email,2_2
3,3,1,hospital,Upgraded email service had not developed bug,2_3,Dr Smith had chosen to read email and taken action accordingly,2_2
4,4,2,garden,"Alex's email worked properly, he could have read the email and",2_3,Bob had read his email,2_2
5,5,2,garden,If he read the email,2_2,he had read the email,2_2
6,6,1,hospital,the e-mail didn't have a bug and send the e-mail to spam...,2_3,the doctor would have read the e-mail...,2_2
7,7,1,hospital,The email had not been marked as spam.,2_3,Dr. Smith had read the email from the pharmacy manager,2_2
8,8,1,hospital,"Dr. Jones has read the email from the manager,",2_2,Dr. Smith has got a chance to read the email,2_2
9,9,1,hospital,the email would not have been marked as spam,2_3,Dr Smith would have read their email,2_2
10,10,3,bakery,Sandra Email provider worked correctly,2_2,Anne would have read the email then,2_2
11,12,2,garden,"The manager told Alex directly. If it didn't go in the spam folder by accident. If Alex read his spam folder. If the fertilizer said it would ""Kill Bourbon Roses"" on the container.",2_4,"the manager wrote something in the title of the email to alert everyone to the importance of the email. The fertilizer could say it in big print ""KILLS CHINA ROSES""",2_4
12,13,3,bakery,"If the email wasnt automatically tossed in the spam folder, the customer would not have suffered an allergic reaction.",2_3,"If Anne had bothered to read the email, the customer would not have suffered an allergic reaction.",2_2
13,14,2,garden,Alex had asked about the new fertilizer before using it,2_5,Bob had simply read the email,2_2
14,15,3,bakery,Sandra saw the email,2_2,Anne would have read the email,2_2
15,17,2,garden,If his email provider would not have upgraded the service then there would not have been a bug that marked the important email as spam automatically and the Bourbon roses would not have died.,2_3,"If he would have just read the email containing the info about the new fertilizer, the China roses would not have died.",2_2
16,18,3,bakery,"If Sandra had read actually received the email, she would've known that Harvest contained traces of walnut. ",2_2,"If Anne would've opened her email, she would've known that the flour contained Hazlenuts. She neglected to read the email, and should take full blame. ",2_2
17,19,1,hospital,if the drug company had not made a mistake with Dr Smiths email.,2_3,Dr Smith had read his emails he would have known ,2_2
18,20,1,hospital,The bug wasn't present in the system,2_3,The doctor read the email,2_2
19,21,2,garden,the email had not gone to spam,2_3,Bob had read the email,2_2
20,22,3,bakery,the mail had no bug,2_3,Anne had read the mail,2_2
21,23,1,hospital,Dr Jones had done more research on the new drug,2_5,"Dr Smith had read the email, and gave the patient Sanquin",2_2
22,25,3,bakery,That the customer would not have suffered an allergic reaction.,4,The customer would not have suffered an allergic reaction.,4
23,26,1,hospital,If the doctor had known about the bug in the email system they could have checked the spam folder and the patient would not have suffered leg cramps. ,2_6,If the doctor had read the email then the patient would not suffer mild leg cramps.,2_2
24,27,3,bakery,the email didn't mark it as spam,2_3,Anne read the email,2_2
25,28,2,garden,the manager had confirmed reciept of the e-mail or had a follow up discussion with Alex about the fertilizer,2_4,Bob had read the email from his manager about the new fertilizer,2_2
26,29,3,bakery,"If the e-mail provider had treated the message properly, then Sandra would have known and not used the flour for that particular order and the customer would not have suffered an allergic reaction.",2_3,If Anne had read the e-mail she would have known that the flour had traces of hazelnuts and would not have used it for the order from the nut allergic customer and s/he would not have had the reaction. ,2_2
27,30,2,garden,Alex had gotten the email,2_2,Bob had read his email,2_2
28,31,1,hospital,"the dr had checked for the email in the spam folder, then maybe ",X,"she had read the email, she would not have given that drug and ",2_2
29,32,3,bakery,the customer asked Sandra to check if the flour contained walnuts then,4,the customer asked Anne to check the flour to see if it was safe then,4
30,33,2,garden,the service provider had not erroneously marked the email as spam,2_3,"Bob had read his email, he would not have used the nutrit on the china roses and",2_2
31,34,1,hospital,"Dr. Jones' email had not deleted the email (marked as spam), he would have known the side effects and",2_3,Dr Smith had read the email from the pharmacy,2_2
32,35,3,bakery,The email was not marked as spam ( in error) the problem would not have occurred.,2_3,The bakery could have posted a sign stating the new flour was not nut friendly.,2_4
33,36,3,bakery,Sandra had verified with the manager that the flour did not contain nuts before using the new flour brand,2_5,Anne had read the email ,2_2
34,37,2,garden,alex read that email where is said that splendor would harm the bourbon roses then ,2_2,bob wasn't complacent and actually read the email which was sent to him then,2_2
35,38,1,hospital,Dr Jones had check the spam mail like any professional that deal with the life of peoples would do nowadays,X,dr Smith had read the email of the pharmacist she would have known that Corus is  contraindicated for people with blood type B-negative so,2_2
36,39,3,bakery,The email provider had correctly configured their systems or the flour provider have been more proactive about labeling or calling.,2_3,The supplier of the flour could have indicated the change on the packaging or called the baker instead of sending an email.,4
37,40,3,bakery,"If the manager were more attentive and tried other ways of communicating with his employees, the customer would not have suffered an allergic reaction.",4,If Ana were more attentive to her email box and the manager was more attentive when talking about the exchange of products due to the possibilities of adverse reactions given the ability of this new product to cause inconvenience to the customers of her collaborator,2_2
46,50,3,bakery,If Sandra had gotten the information from the baker that they changed flour and the new flour contains traces of walnuts the customer would not have suffered an allergic reaction.,2_1,"If Anne would have read her email, like she is supposed to do she would have known the new flour contained traces of hazelnut and the customer would not have suffered an allergic reaction.",2_2
47,51,1,hospital,"the IT department had effectively checked for bug in the new software,",2_3,Dr. Smith had read the email about Corus,2_2
48,52,1,hospital,Dr Jones would have looked in her spam folder,X,Dr Smith would have read the message ,2_2
49,53,3,bakery,"if they had sent out multiple emails or messages elsewhere to notify people, or had them run a news story on it, or put out an fda emergency alert, the customer would not have suffered an allergic reaction",2_4,"she had just read the email or they had marked the subject line ""emergency, please read"", ",2_2
50,54,3,bakery,the email server did not have a bug,2_3,Anne had read the email,2_2
51,55,1,hospital,Dr. Jones would have taken the initiative to learn about side effects of Afibo,2_5,would have read the important email,2_2
52,56,3,bakery,the bakery manager had made sure that all the employees knew that the bakery changed flour and the new flour had traces of nuts,2_4,"the bakery manager had made sure that everyone working in the bakery knew the new flour contained nuts rather than just assume everyone got, read, and comprehended an email ",2_4
53,57,1,hospital,"If Dr. Jones email had not been upgraded and she received and read the email from the pharmacy manager, the patient would not have suffered leg cramps.",2_3,If Dr. Smith had not prescribed Corus the patient would not have suffered leg cramps. ,1
54,58,1,hospital,"If Dr. Jones had received and read the email about Afibo causing mild leg cramps in patients who are AB-positive blood types, she would not have prescribed Afibo to this person, and...",2_2,"If Dr. Smith had read the email informing her that Corus causes mild leg cramps in blood type B-negative patients, she would not have prescribed Corus to this person, and...",2_2
55,59,1,hospital,dr jones did not administer the drug,1,did not take the blood thinner,1
56,60,1,hospital,the email provider had detected the software bug so that the doctor would see the email,2_3,D. Smith had read the email,2_2
57,61,1,hospital,"Dr Smith had read the email, if the email system hadn't have been upgraded, if the email hadn't have been marked as spam",2_2,Dr Smith had read the email,2_2
58,62,1,hospital,"If the email service that Dr. Jones uses would have worked properly, Dr. Jones would have seen the email that stated the drug caused leg cramps.",2_3,Dr. Smith needed to read the email from the pharmacist so that they knew the side effects of the drug that they were administering. ,2_2
59,63,3,bakery,a written communication was sent along with email,2_4,Anne had read the email,2_2
60,64,2,garden,Alex had known that the new fertilizer would harm the Bourbon roses,2_1,Bob had read the information about it ,2_5
61,66,3,bakery,"the bakery manager had not only sent an e-mail about the new White Mill flour, but also posted a note/memo on the company bulletin board about the flour, ",2_4,Anne had read her e-mail from the bakery manager she wouldn't have used the nut ladened flour and ,2_2
62,67,2,garden,Alex had been adequately informed about the toxic fertilizer,2_1,Bob had read the email and realized that the fertilizer harmed the roses ,2_2
63,68,2,garden,Alex hadn't upgraded his email,2_5,Bob had read the email that was sent to him,2_2
64,69,1,hospital,Dr Jones would have received the email,2_3,Dr Smith would have been more diligent in reading their emails,2_2
65,70,3,bakery,Sandra had monitored her spam folder,X,anne had read the email,2_2
66,71,2,garden,the email had reached alex,2_3,bob had read the e-mails provided by his management ,2_2
67,72,3,bakery,"If the email was not marked as spam and deleted, then Sandra would have been able to read the email and the customer would not have suffered an allergic reaction.",2_3,"If Anne had read the email from her manager, she would have known about the new flour and known that it contained hazelnuts. Thus, the customer would not have suffered an allergic reaction had she been more thorough.",2_2
68,73,2,garden,he had checked his spam folder or updated his settings,X,he had looked through his emails more carefully,2_2
69,74,3,bakery,sandra did not upgrade her email,2_5,Anne had read the email saying the product contained traces of hazelnuts,2_2
70,75,2,garden,"If the email from the garden manager did not go to spam and did not get deleted, Alex would have known of the issue and the Bourbon roses would not have died. ",2_3,If Bob had just read the email the China roses would not have deid. ,2_2
71,76,2,garden,"If Bob has received the email, he could have read it and, ",2_3,"Bob had read the email containing the information that Nutrit harmed the China Rose, ",2_2
72,77,3,bakery,"Sandra asked around more about the new brand, or even called the provider, she would have known.",2_5,"Anne wasn't irresponsible and read the mail, this could have been prevented.",2_2
73,78,1,hospital,...the e-mail settings were not changed...,2_3,..the doctor had taken the time to read the e-mail...,2_2
74,79,3,bakery,Sandra had seen the email,2_2,Anne opened the email,2_2
75,80,1,hospital,"If the upgraded email did not cause an error, sending the email to spam, the patient would not have suffered leg cramps.",2_3,If the doctor read the important email that cited the side effects the patient would have not suffered leg cramps.,2_2
76,83,3,bakery,the company was not cutting corners and using cheap flour,4,the business was not trying to be as cheap as possible,4
77,84,1,hospital,the email was not automatically deleted,2_3,the doctor would have read the email,2_2
78,85,3,bakery,the service provider never make a costly upgrade,2_3,not for Anne's ignorance,2_1
79,86,2,garden,"Alex had done more research and/or consulted his garden manager before using a different, less expensive product",2_5,"Bob had read his boss's email or, at the very least, had done more research on Nutrit and/or asked his garden manager before using it",2_2
80,88,1,hospital,"If the doctor had known that Afibo causes mild leg cramps in AB positive patients, he would have given patient Heparin instead, and the patient would not have suffered leg cramps.",2_1,"If the doctor had read the email, she would have known about the side effect to B- patients, and would have given a different blood thinner.",2_2
81,89,2,garden,"If the email program had been working properly so that Bob could open the email about the fertilizer, the Bourbon roses would not have died.",2_3,"If Bob had read the email that he was sent, and acted accordingly, the China roses would not have died.",2_2
82,90,1,hospital,The email filter was working properly and Dr. Jones had received and read the email,2_3,Dr. Smith had read her email,2_2
83,91,3,bakery,"If Sandra had checked all the products used before baking, the customer would not have suffered an allergic reaction.",2_5,"If Anne had checked all the used products before baking, or read the email about the produzts, the customer would not have suffered an allergic reaction.",2_5
84,92,1,hospital,the email wasn't marked as spam,2_3,the doctor had read the emails,2_2
85,94,3,bakery,I would have instead gone to the bakery myself to let everyone know that day before anyone started using it to bake the product.,4,I would have went to the bakery to let all of the bakers know in person that the new product contains traces of hazelnuts.,2_4
86,95,3,bakery,"If Sandra knows that Harvest contain walnuts, the customer would not have suffered an allergic reaction.",2_1,If Anne reads that Homestead contain hazelnuts then the customer would not have suffered an allergic reaction. ,2_5
87,96,3,bakery,"The bakery manager should alert  Sandra about walnut traces in the flour it helps Sandra to find out the solution then only the customer would not have suffered an allergic reaction,",2_4,Anne read the email then the customer would not have suffered an allergic reaction.,2_2
88,97,3,bakery,Sandra had taken time to learn the product information about the ingredients she was putting in her products,2_5,Anne had bothered to read the email about her new ingredients,2_2
89,100,2,garden,the email has been sent properly,2_3,Bob had read the email ,2_2
