"","participant","condition","scenario","cf_1","cf_2"
"1",1,"2","garden","Alex had read all of his emails","Bob had checked all of his emails"
"2",2,"3","bakery","Sandra knew there were nuts","Anne had checked further"
"3",4,"2","garden","Alex had read more than 1 email","Bob had read more than just one email"
"4",7,"3","bakery","Sandra would have checked all of her emails.","Anne would have looked at other emails"
"5",8,"3","bakery","Sandra knows that the 'Harvest' flour contains traces of walnuts","Anne knows that the 'Homestead' flour contains traces of hazelnuts,"
"6",9,"2","garden","If Alex had read all of the emails, the Bourbon roses would not have died.","If Bob had checked all the emails before using the Nutrit, the China roses would not have died."
"7",10,"1","hospital","not for the medicine","not for the medicine"
"8",11,"2","garden","he had read all ten emails","he had read any of the other emails"
"9",12,"1","hospital","Dr Jones would have looked at all 10 e-mails and took precaution","Dr Smith would have looked into all the 10 e-mails and took precaution"
"10",14,"3","bakery","she would have been more careful","she would have been diligent"
"11",15,"3","bakery","If Sandra had made sure to reach every email from the manufacturer before using the product like most people would, the customer would not have suffered an allergic reaction.","If Anne had read every email about the product like a conscientious baker would, the customer would not have suffered an allergic reaction."
"12",16,"1","hospital","we had regulation and actually tested drugs before drs prescribed them","trump hadnt turnd the fda into the federa;l dumbass admin"
"13",17,"3","bakery","the emails made it clear that it contains traces of walnuts","the customer checked in on the other emails"
"14",18,"2","garden","he had read all ten emails","he had read any other of the emails"
"15",20,"2","garden","If the botanical garden communicated more effectively with Alex, the Bourbon roses would not have died","If the botanical garden communicated more effectively to its employees, the China roses would not have died."
"16",21,"2","garden","Alex had read all the emails","Bob had looked at the rest of the emails, or all of the test results had been sent in a single email"
"17",22,"2","garden","Alex didnt buy splendor","Bob researched more"
"18",23,"3","bakery","Sandra had kept up with reading the emails about walnut traces","Anne kept up with reading the emails that by majority say the flour has traces of hazelnut"
"19",24,"2","garden","he had read all ten emails","he had read the second email"
"20",26,"2","garden","he had read all ten emails ","he had read any of the other emails"
"21",28,"3","bakery","If Sandra had read all of the emails, the customer would not have suffered an allergic reaction.","If Anne had read more than one email, she would have known that the ""Homestead"" flour contained traces of hazelnuts and the customer would not have suffered an allergic reaction."
"22",29,"3","bakery","she had checked all ten emails","she would have checked any of the other emails"
"23",30,"3","bakery","Sandra had looked at all the emails","Anne had looked at all the emails"
"24",32,"3","bakery","she had read all ten emails","she had read any of the other emails"
"25",33,"3","bakery","according to me,the reason for allergic reaction is harvest flour","anne is the main reason for allergic reaction"
"26",34,"2","garden","Alex would have read all ten emails","Bob would have read all of the emails instead of just one"
"27",35,"1","hospital","Dr. Jones had read all 10 emails","Dr. Smith had checked all 10 emails"
"28",39,"3","bakery","Sandra had done her due diligence in reading each of the e-mails, she would have known that the Harvest flour could contain traces of walnuts and therefore should be avoided in nut allergy friendly baking applications.","Anne had read her e-mails each time (or all of the them at one time, depending on how they were delivered to her), then she would have known that the Homestead flour definitely contains traces of hazelnut and would not have used it and"
"29",43,"2","garden","If Alex had read all the emails he would have seen the 10th one and known that Splendor would kill the rose.","If Bob had read all the emails the China roses would not have died"
"30",44,"1","hospital","Dr. Jones had more thoroughly investigated the results of the emails","Dr. Smith had read the other 9 emails"
"31",45,"3","bakery","Sandra had researched all of her emails","Anne had read all of her emails"
"32",46,"3","bakery","they were told that it contained traces of nuts","they checked more than one email"
"33",48,"1","hospital","Thw doctor had checked all of the emails ","The doctor had looked at all of the emails "
"34",51,"2","garden","IF ALEX DOES NOT USE THE FERTILIZER SPLENDOR THE BOURBON ROSES WOULD NOT HAVE DIED","BOB DOES NOT USE THE FERTILIZER NUTRIT THE CHINA ROSES WOULD NOT HAVE DIED"
"35",52,"1","hospital","If the doctor would have looked through all emails before coming to a conclusion, then the patient would not have suffered leg cramps. He should have checked all email test results instead of just looking at the first email. ","If Dr. Smith would have looked at the remaining emails, the patient would not have suffered the leg cramps. The doctor should have looked at all 10 emails to get a better understanding about the side effects. "
"36",53,"1","hospital","Checked  better ","The  doctor had checked better he would have known it causes leg cramps ."
"37",54,"1","hospital","Dr. had prescribed the other drug","Dr. Smith had prescribed the other drug"
"38",56,"2","garden","Alex had known that 'Splendor' harms the Bourbon rose or if it were the case that 'Splendor' does not harm the Bourbon rose ","Bob knew what would happen or if nutrit didn't harm china roses"
"39",57,"1","hospital"," If Dr smith looked at all the emails he would have known the side effects and not administered the medicine "," If Dr Smith took the time to read the rest of the Email's, he would have known about the side effects and then the patient would not have suffered the leg cramps"
"40",59,"3","bakery","Sandra is aware of that the “Harvest” flour contains traces of walnuts","Anne is aware of that the “Homestead” flour contains traces of hazelnuts"
"41",60,"1","hospital","Doctor Jones had read all the emails","the doctor had read the rest of the emails"
"42",62,"1","hospital","Dr Jones's responsibility is to check all the official mails.But he didn't. Due to his lethargic the patient got suffered.","Doctor is the only responsibility for the side effect.Dr.Smith need to be attentive before give some medicine to the patients."
"43",65,"2","garden","If a person analyzes all the emails and forward the result to the employees, the result would be different.","Seeing all emails from initiates in single batch outcome would be different"
"44",68,"3","bakery","If Harvest had more consistent testing procedures, the customer would not have suffered an allergic reaction.","If Anne had bothered to read the remaining emails, the customer would not have suffered an allergic reaction."
"45",69,"2","garden","had read all emails","Bob had read even one more email"
"46",71,"3","bakery","Sandra looked at ALL of the emails...maybe because the last email stated that Harvest contains traces of walnuts, she could have thought differently and not use Harvest because of that last email even though most of the emails said there was not traces of walnuts.","Anne would have only looked at least the next few (if not, all) the emails, she would have known that Homestead had traces of hazelnuts, and therefore, probably would not have used Homestead."
"47",72,"3","bakery","Sandra had checked all her emails","Anne had checked her emails"
"48",74,"1","hospital","the doctor checked more emails","he checked more emails"
