;participant;condition;scenario;cf_1;counterfactual_1;cf_2;counterfactual_2
1;1;1;hospital;the doctor had researched the drug further and not prescribed it;2_3;the doctor had researched the drug and not prescribed it;2_3
2;2;2;garden;the email had contained the warning;2_1;Bob had done his research;2_3
3;4;3;bakery;"""If the Bakery Manager would have proofread her e-mail prior to sending to make sure all pertinent details were included in it,  the customer would not have suffered an allergic reaction.""";2_4;the Bakery Manager had posted the complete information in the bake shop instead of just relying on e-mail to inform her employees, ;2_4
4;5;1;hospital;Dr. Jones had read up on this information by reading the information that comes from the pharmaceutical company directly instead of relying on a summary of it given by the pharmacist that didn't contain it;2_3;Dr. Smith had read up on the medication in any one of a number of places as doctors should do before prescribing a new medicine OR (the pharmacist had included this information and Dr. Smith had read that email);2_3
5;6;3;bakery;If Sandra confirmed (asked) Harvest whether it had nuts then the customer would not have suffered an allergic reaction.;2_3;If Anne had contacted Homestead personally to confirm whether it had nuts then the customer would not have suffered an allergic reaction.;2_3
6;7;2;garden;the email had contained the harmful effects information;2_1;the email had contained the information about harmful effects AND if Bob would have read the email;2_2
7;9;2;garden;Alex were made aware of the truth and acted on this information;2_4;Bob read the email and it contained the information;2_2
8;12;2;garden;alex should have researched the fertilizer splendor or read on the packaging and he probaly could have found out splendor would kill his bourbon roses.;2_3;If Bob would have read the e-mail that told him Nutrit could harm the china roses.;2_2
9;14;3;bakery;the email had contained the information about the flour containing traces of walnuts;2_1;the email had contained the nut allergy information and Anne had read the email;2_2
10;15;2;garden;If the general manager including the negative information about Splendor, the Bourbon roses would not have died.;2_1;If the garden manager included the negative information about Nutrit and Bob read the email, the China roses would not have died.;2_2
11;16;2;garden;the email had all the relevant information;2_1;Bob had known about the fertilizer;2_0
12;17;1;hospital;pharmacist notified the doctor in the email that there were side effects to patients with AB-positive blood type;2_1;the pharmacist included the side effect comment in the email and the doctor had read the email;2_2
13;21;1;hospital;If the pharmacy had included information about Afibo causing leg cramps in the email sent to Doctor Jones, the patient would not have suffered leg cramps.;2_1;If the pharmacy manager had told Doctor Smith that Corus causes leg cramps, he would have prescribed something else and the patient would not have suffered leg cramps.;2_4
14;22;3;bakery;the manager provided this information in the email;2_1;the manager provided the info in the email and Anne read the email;2_4
15;24;1;hospital;If the pharmacy did not forget to add the paragraph;2_1;The doctor had done more research on the drug he was giving out;2_3
16;26;3;bakery;the email had contained the correct information;2_1;the email contained the correct information and Anne had read it;2_2
17;27;3;bakery;If you're going to bake for someone with a nut allergy you should do more thorough research into the ingredients. If Sandra did better research instead of just reading an e-mail without information in it then the customer would not have suffered an allergic reaction.;2_3;If Anne had looked into the ingredients of the flour then she would have known that it had hazelnuts in it and the customer would not have suffered an allergic reaction.;2_3
18;28;2;garden;If the email had included that the fertilizer was harmful to Bourbon roses, the Bourbon roses would not have died. ;2_1;If the email would have included the harmful side affects to the China roses, the China roses would not have died. ;2_1
